"Status","Year","Organisation","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","125","110","33960","31940"
"In post","2023","Accountant in Bankruptcy","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","East Sussex CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Leeds","Outside London","10","10","66550","62060"
"In post","2023","Active Travel England","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Westminster","London","10","10","[c]","[c]"
"In post","2023","Active Travel England","York","Outside London","30","30","47030","40560"
"In post","2023","Advisory, Conciliation and Arbitration Service","Birmingham","Outside London","75","70","32870","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Bristol, City of","Outside London","45","40","34310","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Outside London","80","75","32080","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Dorset","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Glasgow City","Outside London","95","85","32550","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Greater Manchester South East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Hartlepool and Stockton-on-Tees","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Kent Thames Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Leeds","Outside London","70","60","33730","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Manchester","Outside London","145","130","32130","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Medway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Mid Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","North Hampshire","Outside London","20","20","35640","35190"
"In post","2023","Advisory, Conciliation and Arbitration Service","North Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Nottingham","Outside London","100","95","30770","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Oxfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Perth and Kinross, and Stirling","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Sefton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","South West Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Suffolk CC","Outside London","40","35","34880","34950"
"In post","2023","Advisory, Conciliation and Arbitration Service","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Thurrock","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Tyneside","Outside London","140","125","31290","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Wandsworth","London","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Warwickshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","West Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Westminster","London","165","160","44000","39360"
"In post","2023","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","Outside London","15","15","33220","32070"
"In post","2023","Animal and Plant Health Agency","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Birmingham","Outside London","5","5","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Bristol, City of","Outside London","75","70","25370","22150"
"In post","2023","Animal and Plant Health Agency","Buckinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Caithness and Sutherland, and Ross and Cromarty","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cambridgeshire CC","Outside London","25","25","32300","30320"
"In post","2023","Animal and Plant Health Agency","Cardiff and Vale of Glamorgan","Outside London","100","95","29890","25920"
"In post","2023","Animal and Plant Health Agency","Central Hampshire","Outside London","30","30","31240","29150"
"In post","2023","Animal and Plant Health Agency","Cheshire East","Outside London","25","20","34230","30320"
"In post","2023","Animal and Plant Health Agency","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Outside London","60","60","32390","30320"
