"Status","Year","Region_ITL1","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Midlands (England)","Outside London","Heterosexual / straight","16220","15115","32680","28480"
"In post","2023","East Midlands (England)","Outside London","LGBO","1055","1015","31370","28120"
"In post","2023","East Midlands (England)","Outside London","Undeclared","1965","1800","32700","28130"
"In post","2023","East Midlands (England)","Outside London","Unknown","4395","4050","29930","28120"
"In post","2023","East of England","Outside London","Heterosexual / straight","15910","14835","33030","30560"
"In post","2023","East of England","Outside London","LGBO","830","805","31740","29700"
"In post","2023","East of England","Outside London","Undeclared","2015","1850","33060","30930"
"In post","2023","East of England","Outside London","Unknown","3635","3325","31300","28120"
"In post","2023","London","London","Heterosexual / straight","67895","65240","46190","41380"
"In post","2023","London","London","LGBO","5625","5535","47570","43000"
"In post","2023","London","London","Undeclared","9055","8640","45600","41360"
"In post","2023","London","London","Unknown","21160","20375","43190","37510"
"In post","2023","North East (England)","Outside London","Heterosexual / straight","23425","21435","32130","28120"
"In post","2023","North East (England)","Outside London","LGBO","1510","1460","31650","28120"
"In post","2023","North East (England)","Outside London","Undeclared","2280","2055","31610","28120"
"In post","2023","North East (England)","Outside London","Unknown","7045","6310","29320","26960"
"In post","2023","North West (England)","Outside London","Heterosexual / straight","44970","41920","32880","28120"
"In post","2023","North West (England)","Outside London","LGBO","3205","3105","32270","28130"
"In post","2023","North West (England)","Outside London","Undeclared","4745","4350","32400","28120"
"In post","2023","North West (England)","Outside London","Unknown","14190","13135","29730","27650"
"In post","2023","Northern Ireland","Outside London","Heterosexual / straight","3060","2910","31880","28130"
"In post","2023","Northern Ireland","Outside London","LGBO","155","150","29580","27890"
"In post","2023","Northern Ireland","Outside London","Undeclared","235","220","31710","28220"
"In post","2023","Northern Ireland","Outside London","Unknown","1100","1035","28920","25880"
"In post","2023","Overseas","Overseas","Heterosexual / straight","2260","2250","52970","51500"
"In post","2023","Overseas","Overseas","LGBO","175","175","52870","53970"
"In post","2023","Overseas","Overseas","Undeclared","140","140","54130","50500"
"In post","2023","Overseas","Overseas","Unknown","940","935","54560","55070"
"In post","2023","Scotland","Outside London","Heterosexual / straight","31910","29875","36350","31940"
"In post","2023","Scotland","Outside London","LGBO","2405","2335","34950","29560"
"In post","2023","Scotland","Outside London","Undeclared","2895","2665","34910","29100"
"In post","2023","Scotland","Outside London","Unknown","16290","15235","33580","29100"
"In post","2023","South East (England)","Outside London","Heterosexual / straight","30110","28070","34140","31280"
"In post","2023","South East (England)","Outside London","LGBO","1860","1795","32650","30880"
"In post","2023","South East (England)","Outside London","Undeclared","3875","3580","34750","32160"
"In post","2023","South East (England)","Outside London","Unknown","7185","6645","32440","28180"
"In post","2023","South West (England)","Outside London","Heterosexual / straight","34390","32430","37200","33990"
"In post","2023","South West (England)","Outside London","LGBO","1875","1820","34280","30920"
"In post","2023","South West (England)","Outside London","Undeclared","4360","4065","37340","34300"
"In post","2023","South West (England)","Outside London","Unknown","6770","6305","34290","29160"
"In post","2023","Unknown","Unknown","Heterosexual / straight","645","610","36570","31280"
"In post","2023","Unknown","Unknown","LGBO","45","45","38150","28120"
"In post","2023","Unknown","Unknown","Undeclared","95","85","33220","28120"
"In post","2023","Unknown","Unknown","Unknown","1930","1920","41070","38760"
"In post","2023","Wales","Outside London","Heterosexual / straight","26695","24880","34150","28880"
"In post","2023","Wales","Outside London","LGBO","1780","1725","32870","28130"
"In post","2023","Wales","Outside London","Undeclared","3880","3485","32540","28120"
"In post","2023","Wales","Outside London","Unknown","6305","5790","31140","28120"
"In post","2023","West Midlands (England)","Outside London","Heterosexual / straight","23880","22320","33250","28480"
"In post","2023","West Midlands (England)","Outside London","LGBO","1315","1265","32450","28880"
"In post","2023","West Midlands (England)","Outside London","Undeclared","2600","2390","32670","28120"
"In post","2023","West Midlands (England)","Outside London","Unknown","6655","6140","31070","28120"
"In post","2023","Yorkshire and The Humber","Outside London","Heterosexual / straight","27830","25845","34260","30330"
"In post","2023","Yorkshire and The Humber","Outside London","LGBO","1935","1875","33760","30810"
"In post","2023","Yorkshire and The Humber","Outside London","Undeclared","3340","3085","34240","30830"
"In post","2023","Yorkshire and The Humber","Outside London","Unknown","7750","7215","31170","28120"
"Leaver CS","2023","East Midlands (England)","Outside London","Heterosexual / straight","1380","[c]","29980","27570"
"Leaver CS","2023","East Midlands (England)","Outside London","LGBO","115","[c]","29770","27570"
"Leaver CS","2023","East Midlands (England)","Outside London","Undeclared","160","[c]","29550","27190"
"Leaver CS","2023","East Midlands (England)","Outside London","Unknown","660","[c]","27210","23390"
"Leaver CS","2023","East of England","Outside London","Heterosexual / straight","1580","[c]","31860","28120"
"Leaver CS","2023","East of England","Outside London","LGBO","110","[c]","29610","28120"
"Leaver CS","2023","East of England","Outside London","Undeclared","180","[c]","32870","28120"
"Leaver CS","2023","East of England","Outside London","Unknown","635","[c]","32610","26960"
"Leaver CS","2023","London","London","Heterosexual / straight","5985","[c]","43460","36800"
"Leaver CS","2023","London","London","LGBO","675","[c]","43920","39000"
"Leaver CS","2023","London","London","Undeclared","885","[c]","42670","38110"
