"Status","Year","Region_ITL1","Region_ITL2","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","Female","8150","7395","32690","28130"
"In post","2023","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","Male","6205","6000","34380","31260"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","Female","3715","3305","28870","27650"
"In post","2023","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","Male","2480","2385","31110","28120"
"In post","2023","East Midlands (England)","Lincolnshire","Outside London","Female","1625","1490","29400","27740"
"In post","2023","East Midlands (England)","Lincolnshire","Outside London","Male","1460","1405","32240","30400"
"In post","2023","East of England","Bedfordshire and Hertfordshire","Outside London","Female","2770","2520","34090","31280"
"In post","2023","East of England","Bedfordshire and Hertfordshire","Outside London","Male","2000","1945","36130","32410"
"In post","2023","East of England","East Anglia","Outside London","Female","6750","6080","30920","28120"
"In post","2023","East of England","East Anglia","Outside London","Male","6320","6070","33630","31290"
"In post","2023","East of England","Essex","Outside London","Female","2725","2445","31280","30560"
"In post","2023","East of England","Essex","Outside London","Male","1820","1750","32380","30540"
"In post","2023","London","Inner London - East","London","Female","10115","9510","42590","37760"
"In post","2023","London","Inner London - East","London","Male","8620","8420","46400","40260"
"In post","2023","London","Inner London - West","London","Female","32045","30765","48580","43760"
"In post","2023","London","Inner London - West","London","Male","27135","26800","50910","46600"
"In post","2023","London","Inner London - West","London","Unknown","5","5","[c]","[c]"
"In post","2023","London","Outer London - East and North East","London","Female","2550","2280","32010","32520"
"In post","2023","London","Outer London - East and North East","London","Male","1700","1650","34140","32520"
"In post","2023","London","Outer London - South","London","Female","7035","6550","38620","33050"
"In post","2023","London","Outer London - South","London","Male","5310","5195","42360","38250"
"In post","2023","London","Outer London - West and North West","London","Female","4960","4545","34900","32520"
"In post","2023","London","Outer London - West and North West","London","Male","4260","4070","35630","32520"
"In post","2023","North East (England)","Northumberland, and Tyne and Wear","Outside London","Female","13610","11875","30360","28120"
"In post","2023","North East (England)","Northumberland, and Tyne and Wear","Outside London","Male","10025","9645","33670","28130"
"In post","2023","North East (England)","Tees Valley and Durham","Outside London","Female","6235","5580","30170","28120"
"In post","2023","North East (England)","Tees Valley and Durham","Outside London","Male","4385","4160","31910","29730"
"In post","2023","North West (England)","Cheshire","Outside London","Female","2570","2365","33100","30410"
"In post","2023","North West (England)","Cheshire","Outside London","Male","1930","1870","35730","32920"
