"Status","Year","Age","Region_ITL1","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","AA","10","10","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","AO","35","35","24480","22520"
"In post","2023","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA","5","5","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AO","15","15","26410","28880"
"In post","2023","16-19","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Lincolnshire","AA","5","5","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Lincolnshire","AO","10","10","[c]","[c]"
"In post","2023","16-19","East of England","Bedfordshire and Hertfordshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Bedfordshire and Hertfordshire","AO","5","5","[c]","[c]"
"In post","2023","16-19","East of England","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","East Anglia","AA","15","10","22790","23230"
"In post","2023","16-19","East of England","East Anglia","AO","30","30","24670","22500"
"In post","2023","16-19","East of England","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Essex","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Essex","AO","15","15","24150","22400"
"In post","2023","16-19","East of England","Essex","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Inner London - East","AO","15","15","26440","25480"
"In post","2023","16-19","London","Inner London - East","EO","5","5","[c]","[c]"
"In post","2023","16-19","London","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Inner London - West","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Inner London - West","AO","20","20","23940","24280"
"In post","2023","16-19","London","Inner London - West","EO","35","35","28490","28730"
"In post","2023","16-19","London","Inner London - West","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Outer London - East and North East","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Outer London - East and North East","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Outer London - South","AO","10","10","26780","26920"
"In post","2023","16-19","London","Outer London - South","EO","5","5","[c]","[c]"
"In post","2023","16-19","London","Outer London - South","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Outer London - West and North West","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Outer London - West and North West","AO","20","15","26400","26400"
"In post","2023","16-19","London","Outer London - West and North West","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North East (England)","Northumberland, and Tyne and Wear","AO","35","35","22280","22520"
