"Status","Year","Age","Region_ITL3","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Angus and Dundee City","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Angus and Dundee City","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnet","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnet","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnet","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnet","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AO","Female","20","20","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","AO","Male","65","65","19030","18780"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Male","10","10","[c]","[c]"
"In post","2023","16-19","Bedford","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bedford","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Belfast","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Belfast","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire","AO","Female","[c]","[c]","[c]","[c]"
