"Status","Year","Ethnicity","Organisation","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Accountant in Bankruptcy","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","EO","Female","10","10","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","EO","Male","5","5","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","AA/AO","Female","25","25","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","EO","Female","20","20","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","EO","Male","15","15","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","SEO/HEO","Male","10","10","[c]","[c]"
