"Status","Year","Age","Ethnicity","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Asian","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","AO","70","70","22590","22520"
"In post","2023","16-19","Asian","EO","15","15","[c]","[c]"
"In post","2023","16-19","Asian","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","AO","5","5","[c]","[c]"
"In post","2023","16-19","Black","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","AA","5","5","[c]","[c]"
"In post","2023","16-19","Mixed","AO","15","15","[c]","[c]"
"In post","2023","16-19","Mixed","EO","5","5","[c]","[c]"
"In post","2023","16-19","Mixed","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Undeclared","AO","5","5","[c]","[c]"
"In post","2023","16-19","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AA","110","100","21920","22180"
"In post","2023","16-19","Unknown","AO","365","350","23170","22500"
"In post","2023","16-19","Unknown","EO","55","55","26660","25750"
"In post","2023","16-19","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","60","60","20210","19090"
"In post","2023","16-19","White","AA","135","135","21440","23230"
"In post","2023","16-19","White","AO","440","430","23620","22520"
"In post","2023","16-19","White","EO","90","90","26990","27080"
"In post","2023","16-19","White","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","White","Unknown","45","45","21030","19270"
"In post","2023","20-29","Asian","AA","80","70","22800","23230"
"In post","2023","20-29","Asian","AO","2015","1940","23430","22520"
"In post","2023","20-29","Asian","EO","2205","2170","28900","28120"
"In post","2023","20-29","Asian","G6","20","20","[c]","[c]"
"In post","2023","20-29","Asian","G7","325","325","55880","55120"
"In post","2023","20-29","Asian","HEO","1585","1575","34460","34410"
"In post","2023","20-29","Asian","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Asian","SEO","600","600","41870","41780"
"In post","2023","20-29","Asian","Unknown","240","235","25500","23720"
"In post","2023","20-29","Black","AA","40","40","24830","23420"
"In post","2023","20-29","Black","AO","540","530","26090","25480"
"In post","2023","20-29","Black","EO","725","720","29910","29660"
"In post","2023","20-29","Black","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Black","G7","90","90","56260","55140"
"In post","2023","20-29","Black","HEO","485","485","34860","34670"
"In post","2023","20-29","Black","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Black","SEO","175","175","41970","41480"
"In post","2023","20-29","Black","Unknown","165","160","27590","27640"
"In post","2023","20-29","Mixed","AA","55","55","22640","23230"
"In post","2023","20-29","Mixed","AO","585","565","25440","22870"
"In post","2023","20-29","Mixed","EO","575","565","28980","28120"
"In post","2023","20-29","Mixed","G6","10","10","[c]","[c]"
"In post","2023","20-29","Mixed","G7","170","170","55710","55120"
"In post","2023","20-29","Mixed","HEO","655","655","33870","33830"
"In post","2023","20-29","Mixed","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Mixed","SEO","240","240","41800","41440"
"In post","2023","20-29","Mixed","Unknown","180","175","25880","24570"
"In post","2023","20-29","Other ethnicity","AA","5","5","[c]","[c]"
"In post","2023","20-29","Other ethnicity","AO","115","115","25760","24700"
"In post","2023","20-29","Other ethnicity","EO","150","145","29210","28420"
"In post","2023","20-29","Other ethnicity","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Other ethnicity","G7","60","60","55610","55120"
"In post","2023","20-29","Other ethnicity","HEO","150","150","34380","34480"
"In post","2023","20-29","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Other ethnicity","SEO","55","55","41150","41440"
"In post","2023","20-29","Other ethnicity","Unknown","25","25","[c]","[c]"
"In post","2023","20-29","Undeclared","AA","25","25","[c]","[c]"
"In post","2023","20-29","Undeclared","AO","305","295","25320","22520"
"In post","2023","20-29","Undeclared","EO","275","270","29350","28120"
"In post","2023","20-29","Undeclared","G6","10","10","[c]","[c]"
"In post","2023","20-29","Undeclared","G7","100","100","55600","55370"
"In post","2023","20-29","Undeclared","HEO","285","280","34210","34170"
"In post","2023","20-29","Undeclared","SEO","160","160","41300","41280"
"In post","2023","20-29","Undeclared","Unknown","45","45","27490","26840"
"In post","2023","20-29","Unknown","AA","1135","1100","22570","23000"
"In post","2023","20-29","Unknown","AO","7450","7260","24750","22520"
"In post","2023","20-29","Unknown","EO","5595","5540","28210","28050"
"In post","2023","20-29","Unknown","G6","90","85","68210","66750"
"In post","2023","20-29","Unknown","G7","970","965","55910","55370"
"In post","2023","20-29","Unknown","HEO","3675","3655","34490","34700"
"In post","2023","20-29","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Unknown","SEO","1705","1700","42090","41950"
"In post","2023","20-29","Unknown","Unknown","1375","1340","26770","24570"
"In post","2023","20-29","White","AA","1705","1650","22450","23230"
"In post","2023","20-29","White","AO","13305","13020","25160","22520"
"In post","2023","20-29","White","EO","11565","11430","28440","28120"
"In post","2023","20-29","White","G6","205","200","67180","66490"
"In post","2023","20-29","White","G7","3305","3295","55130","55020"
"In post","2023","20-29","White","HEO","11170","11120","33650","33830"
"In post","2023","20-29","White","SCS level","10","10","[c]","[c]"
"In post","2023","20-29","White","SEO","5000","4980","41410","41360"
"In post","2023","20-29","White","Unknown","3325","3270","26540","24570"
"In post","2023","30-39","Asian","AA","95","80","22730","23230"
"In post","2023","30-39","Asian","AO","1900","1700","23770","22520"
"In post","2023","30-39","Asian","EO","2725","2580","28990","28120"
"In post","2023","30-39","Asian","G6","270","265","70100","67780"
"In post","2023","30-39","Asian","G7","1230","1210","56650","55720"
"In post","2023","30-39","Asian","HEO","1915","1860","35240","35000"
"In post","2023","30-39","Asian","SCS level","65","65","84240","77410"
"In post","2023","30-39","Asian","SEO","1235","1215","42520","42140"
"In post","2023","30-39","Asian","Unknown","250","235","29320","27640"
"In post","2023","30-39","Black","AA","55","55","24240","23500"
"In post","2023","30-39","Black","AO","730","685","26530","25480"
"In post","2023","30-39","Black","EO","940","895","30060","29750"
"In post","2023","30-39","Black","G6","55","55","67940","66530"
"In post","2023","30-39","Black","G7","360","355","56080","55120"
"In post","2023","30-39","Black","HEO","660","650","35350","35000"
"In post","2023","30-39","Black","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","30-39","Black","SEO","490","485","42460","42140"
"In post","2023","30-39","Black","Unknown","270","260","30640","29300"
"In post","2023","30-39","Mixed","AA","30","30","23050","23230"
"In post","2023","30-39","Mixed","AO","450","415","25800","23100"
"In post","2023","30-39","Mixed","EO","625","590","29470","28120"
"In post","2023","30-39","Mixed","G6","140","135","68200","66770"
"In post","2023","30-39","Mixed","G7","455","440","56050","55370"
"In post","2023","30-39","Mixed","HEO","465","450","35380","34700"
"In post","2023","30-39","Mixed","SCS level","45","45","80970","76720"
"In post","2023","30-39","Mixed","SEO","385","380","42590","41950"
"In post","2023","30-39","Mixed","Unknown","195","185","30180","29170"
"In post","2023","30-39","Other ethnicity","AA","10","10","[c]","[c]"
"In post","2023","30-39","Other ethnicity","AO","105","100","25750","24020"
"In post","2023","30-39","Other ethnicity","EO","130","130","29760","28750"
"In post","2023","30-39","Other ethnicity","G6","50","50","68390","66620"
"In post","2023","30-39","Other ethnicity","G7","145","145","55260","54990"
"In post","2023","30-39","Other ethnicity","HEO","135","130","35350","34700"
"In post","2023","30-39","Other ethnicity","SCS level","5","5","[c]","[c]"
"In post","2023","30-39","Other ethnicity","SEO","100","95","42020","41770"
"In post","2023","30-39","Other ethnicity","Unknown","25","25","[c]","[c]"
"In post","2023","30-39","Undeclared","AA","35","35","21910","22700"
"In post","2023","30-39","Undeclared","AO","565","520","25200","22500"
"In post","2023","30-39","Undeclared","EO","780","745","29510","28120"
"In post","2023","30-39","Undeclared","G6","160","155","68970","67530"
"In post","2023","30-39","Undeclared","G7","550","540","55780","55370"
"In post","2023","30-39","Undeclared","HEO","620","605","34930","34400"
"In post","2023","30-39","Undeclared","SCS level","20","20","[c]","[c]"
"In post","2023","30-39","Undeclared","SEO","490","480","42780","42130"
"In post","2023","30-39","Undeclared","Unknown","115","110","34350","33580"
"In post","2023","30-39","Unknown","AA","795","730","22780","22920"
"In post","2023","30-39","Unknown","AO","5275","4925","25230","22520"
"In post","2023","30-39","Unknown","EO","5265","5070","28980","28120"
"In post","2023","30-39","Unknown","G6","735","710","68930","67520"
"In post","2023","30-39","Unknown","G7","2330","2290","56340","55720"
"In post","2023","30-39","Unknown","HEO","3250","3170","35260","34730"
"In post","2023","30-39","Unknown","SCS level","165","165","81930","76480"
"In post","2023","30-39","Unknown","SEO","2325","2280","42550","42140"
"In post","2023","30-39","Unknown","Unknown","1220","1135","32580","29470"
"In post","2023","30-39","White","AA","1540","1425","22390","23230"
"In post","2023","30-39","White","AO","13865","12760","25510","22520"
"In post","2023","30-39","White","EO","16340","15530","28900","28120"
"In post","2023","30-39","White","G6","3410","3305","68460","67010"
"In post","2023","30-39","White","G7","10615","10320","55660","55120"
"In post","2023","30-39","White","HEO","13520","13090","34610","34310"
"In post","2023","30-39","White","SCS level","720","700","81680","77590"
"In post","2023","30-39","White","SEO","11120","10825","42240","41780"
"In post","2023","30-39","White","Unknown","3770","3540","31440","30810"
"In post","2023","40-49","Asian","AA","145","130","22710","23000"
"In post","2023","40-49","Asian","AO","1970","1655","23690","22520"
"In post","2023","40-49","Asian","EO","2600","2375","29290","28130"
"In post","2023","40-49","Asian","G6","425","410","70450","68770"
"In post","2023","40-49","Asian","G7","1095","1065","57360","56410"
"In post","2023","40-49","Asian","HEO","1585","1530","35780","35000"
"In post","2023","40-49","Asian","SCS level","165","160","90150","84240"
"In post","2023","40-49","Asian","SEO","1265","1230","43500","43000"
"In post","2023","40-49","Asian","Unknown","300","280","32940","29520"
"In post","2023","40-49","Black","AA","85","80","24130","23500"
"In post","2023","40-49","Black","AO","775","715","26270","25480"
"In post","2023","40-49","Black","EO","1080","1025","30120","29890"
"In post","2023","40-49","Black","G6","85","80","70200","68020"
"In post","2023","40-49","Black","G7","405","400","57340","56080"
"In post","2023","40-49","Black","HEO","680","670","35860","35410"
"In post","2023","40-49","Black","SCS level","30","30","92540","82960"
"In post","2023","40-49","Black","SEO","510","505","43420","42840"
"In post","2023","40-49","Black","Unknown","265","255","32510","30810"
"In post","2023","40-49","Mixed","AA","35","30","23240","23230"
"In post","2023","40-49","Mixed","AO","330","295","24920","22520"
"In post","2023","40-49","Mixed","EO","435","410","29180","28120"
"In post","2023","40-49","Mixed","G6","170","160","70520","68500"
"In post","2023","40-49","Mixed","G7","340","325","57120","56040"
"In post","2023","40-49","Mixed","HEO","310","300","35890","35000"
"In post","2023","40-49","Mixed","SCS level","65","65","86480","80500"
"In post","2023","40-49","Mixed","SEO","260","255","43060","42340"
"In post","2023","40-49","Mixed","Unknown","150","140","34200","33340"
"In post","2023","40-49","Other ethnicity","AA","10","10","[c]","[c]"
"In post","2023","40-49","Other ethnicity","AO","95","85","25380","24090"
