"Status","Year","Disability","Region_ITL3","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","AO","40","40","24540","22200"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","EO","55","50","30000","28120"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","HEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","SEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","Outside London","AA","55","50","23410","23340"
"In post","2023","Declared disabled","Angus and Dundee City","Outside London","AO","115","100","22170","21690"
"In post","2023","Declared disabled","Angus and Dundee City","Outside London","EO","130","120","28770","28120"
"In post","2023","Declared disabled","Angus and Dundee City","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","Outside London","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","Outside London","HEO","30","30","35450","34730"
"In post","2023","Declared disabled","Angus and Dundee City","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Angus and Dundee City","Outside London","SEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Outside London","AA","10","10","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Antrim and Newtownabbey","Outside London","SEO","[c]","[c]","[c]","[c]"
