"Status","Year","Age","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Advisory, Conciliation and Arbitration Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Operational Delivery","15","10","23670","22150"
"In post","2023","16-19","Animal and Plant Health Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Animal and Plant Health Agency","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Attorney General's Office","Legal","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Building Digital UK","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cabinet Office (excl. agencies)","Unknown","10","10","25160","24470"
"In post","2023","16-19","Crown Office and Procurator Fiscal Service","Operational Delivery","5","5","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Crown Prosecution Service","Operational Delivery","50","50","21210","20980"
"In post","2023","16-19","Defence Electronics and Components Agency","Science and Engineering","10","10","17040","15780"
"In post","2023","16-19","Defence Equipment and Support","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Finance","15","15","19540","19460"
"In post","2023","16-19","Defence Equipment and Support","Operational Delivery","20","20","19170","18780"
"In post","2023","16-19","Defence Equipment and Support","Other","10","10","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Equipment and Support","Science and Engineering","50","50","18960","18280"
"In post","2023","16-19","Defence Science and Technology Laboratory","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Other","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Defence Science and Technology Laboratory","Science and Engineering","25","25","21890","23340"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","5","5","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Digital, Culture, Media and Sport (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","5","5","[c]","[c]"
"In post","2023","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","10","10","24260","21690"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Operational Delivery","40","40","22940","21690"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Other","10","10","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Policy","5","5","[c]","[c]"
"In post","2023","16-19","Department for Work and Pensions (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Operational Delivery","75","65","20560","19000"
"In post","2023","16-19","Driver and Vehicle Licensing Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Driver and Vehicle Standards Agency","Finance","[c]","[c]","[c]","[c]"
