"Status","Year","Ethnicity","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Accountant in Bankruptcy","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","EO","15","15","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","HEO","20","20","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","SEO","15","15","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","AO","35","35","23480","22150"
"In post","2023","Asian","Animal and Plant Health Agency","EO","35","35","28860","29080"
"In post","2023","Asian","Animal and Plant Health Agency","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","HEO","20","20","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","SEO","10","10","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","EO","5","5","[c]","[c]"
"In post","2023","Asian","Building Digital UK","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","G7","5","5","[c]","[c]"
"In post","2023","Asian","Building Digital UK","HEO","15","15","[c]","[c]"
"In post","2023","Asian","Building Digital UK","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","AO","20","20","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","EO","65","60","28010","28370"
"In post","2023","Asian","Cabinet Office (excl. agencies)","G6","40","40","67710","66530"
"In post","2023","Asian","Cabinet Office (excl. agencies)","G7","125","125","57010","56430"
"In post","2023","Asian","Cabinet Office (excl. agencies)","HEO","80","80","35040","35650"
"In post","2023","Asian","Cabinet Office (excl. agencies)","SCS level","15","15","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","SEO","85","80","41590","41870"
"In post","2023","Asian","Central Civil Service Fast Stream","HEO","185","185","30800","30130"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","G7","[c]","[c]","[c]","[c]"
