"Status","Year","Region_ITL1","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Midlands (England)","AA/AO","Heterosexual / straight","5260","4785","24420","22520"
"In post","2023","East Midlands (England)","AA/AO","LGBO","365","345","24670","22520"
"In post","2023","East Midlands (England)","AA/AO","Undeclared","615","550","23730","21780"
"In post","2023","East Midlands (England)","AA/AO","Unknown","1835","1660","24190","22520"
"In post","2023","East Midlands (England)","EO","Heterosexual / straight","4090","3795","28420","28120"
"In post","2023","East Midlands (England)","EO","LGBO","280","270","28440","28120"
"In post","2023","East Midlands (England)","EO","Undeclared","540","485","28460","28120"
"In post","2023","East Midlands (England)","EO","Unknown","1200","1100","28220","28120"
"In post","2023","East Midlands (England)","G6/G7","Heterosexual / straight","1410","1355","59930","57970"
"In post","2023","East Midlands (England)","G6/G7","LGBO","70","70","59910","57970"
"In post","2023","East Midlands (England)","G6/G7","Undeclared","150","145","61840","57970"
"In post","2023","East Midlands (England)","G6/G7","Unknown","220","210","58620","56870"
"In post","2023","East Midlands (England)","SCS level","Heterosexual / straight","75","75","90260","88510"
"In post","2023","East Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","East Midlands (England)","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2023","East Midlands (England)","SCS level","Unknown","10","10","[c]","[c]"
"In post","2023","East Midlands (England)","SEO/HEO","Heterosexual / straight","4050","3870","37990","35330"
"In post","2023","East Midlands (England)","SEO/HEO","LGBO","240","235","37430","35000"
"In post","2023","East Midlands (England)","SEO/HEO","Undeclared","535","505","38370","36190"
"In post","2023","East Midlands (England)","SEO/HEO","Unknown","865","830","36860","35000"
"In post","2023","East Midlands (England)","Unknown","Heterosexual / straight","1335","1235","30150","29050"
"In post","2023","East Midlands (England)","Unknown","LGBO","95","95","28260","24570"
"In post","2023","East Midlands (England)","Unknown","Undeclared","115","110","32470","30810"
"In post","2023","East Midlands (England)","Unknown","Unknown","260","240","27920","26840"
"In post","2023","East of England","AA/AO","Heterosexual / straight","5045","4645","25680","23690"
"In post","2023","East of England","AA/AO","LGBO","290","275","26240","24070"
"In post","2023","East of England","AA/AO","Undeclared","605","545","25290","23230"
"In post","2023","East of England","AA/AO","Unknown","1330","1200","25140","23230"
"In post","2023","East of England","EO","Heterosexual / straight","4465","4105","29420","28120"
"In post","2023","East of England","EO","LGBO","230","220","29170","28120"
"In post","2023","East of England","EO","Undeclared","625","565","29410","28120"
"In post","2023","East of England","EO","Unknown","1075","975","29060","28120"
