"Status","Year","Ethnicity","Region_ITL2","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Bedford","Heterosexual / straight","80","75","29950","28120"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Bedford","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Bedford","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Bedford","Unknown","10","5","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","Heterosexual / straight","355","330","35950","31570"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","Undeclared","30","25","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","Unknown","45","40","37520","31280"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Luton","Heterosexual / straight","105","95","27700","27000"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Luton","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Luton","Undeclared","10","5","[c]","[c]"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Luton","Unknown","5","5","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Heterosexual / straight","245","225","32410","31280"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Unknown","35","35","30980","29730"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Heterosexual / straight","90","85","33190","29140"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Heterosexual / straight","110","105","33750","28540"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Undeclared","5","5","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Heterosexual / straight","80","75","33320","28480"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","Cheshire East","Heterosexual / straight","40","40","27890","27140"
"In post","2023","Asian","Cheshire","Cheshire East","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cheshire","Cheshire East","Undeclared","[c]","[c]","[c]","[c]"
