"Status","Year","Organisation","Parent_department","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scottish Government","East Ayrshire and North Ayrshire mainland","Heterosexual / straight","75","65","36360","33520"
"In post","2023","Accountant in Bankruptcy","Scottish Government","East Ayrshire and North Ayrshire mainland","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","East Ayrshire and North Ayrshire mainland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","East Ayrshire and North Ayrshire mainland","Unknown","45","45","29280","24890"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Glasgow City","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","Glasgow City","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","East Sussex CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","East Sussex CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","East Sussex CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Leeds","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Leeds","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Leeds","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Leeds","Unknown","5","5","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Swansea","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Swansea","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Westminster","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","Westminster","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","York","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","York","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","York","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Active Travel England","Department for Transport","York","Unknown","10","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Birmingham","Heterosexual / straight","50","45","33940","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Birmingham","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Birmingham","Undeclared","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Birmingham","Unknown","15","15","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Breckland and South Norfolk","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Breckland and South Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bridgend and Neath Port Talbot","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bridgend and Neath Port Talbot","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bridgend and Neath Port Talbot","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bristol, City of","Heterosexual / straight","35","35","34700","32200"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bristol, City of","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bristol, City of","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bristol, City of","Unknown","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","Heterosexual / straight","55","50","32910","32110"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","LGBO","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","Undeclared","5","5","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","Unknown","10","10","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Central Hampshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Central Hampshire","LGBO","[c]","[c]","[c]","[c]"
