"Status","Year","Ethnicity","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Departments","Commercial","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Counter Fraud","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Digital, Data and Technology","25","25","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Finance","35","35","31160","27170"
"In post","2023","Asian","Attorney General's Departments","Human Resources","20","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Legal","635","595","54440","54100"
"In post","2023","Asian","Attorney General's Departments","Operational Delivery","440","410","27240","25600"
"In post","2023","Asian","Attorney General's Departments","Other","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Policy","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Project Delivery","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Statistics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Commercial","95","90","64720","65500"
"In post","2023","Asian","Cabinet Office","Communications","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Digital, Data and Technology","140","135","48300","47230"
"In post","2023","Asian","Cabinet Office","Economics","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Finance","30","30","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Human Resources","70","70","41080","37090"
"In post","2023","Asian","Cabinet Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Legal","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Operational Delivery","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Other","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Policy","25","25","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Project Delivery","35","35","39720","32960"
"In post","2023","Asian","Cabinet Office","Property","20","20","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Psychology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Science and Engineering","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Security","15","15","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Social Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Statistics","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office","Unknown","280","275","38720","32960"
"In post","2023","Asian","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Finance","10","10","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Operational Research","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Other","30","30","50550","46910"
"In post","2023","Asian","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Property","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
