"Status","Year","Disability","Region_ITL1","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","AA","60","55","22030","23230"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","AO","510","455","23850","22500"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","EO","575","520","28060","28120"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","G6","30","25","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","G7","110","105","56450","56870"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","HEO","320","300","34200","34700"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","SEO","180","175","42390","42140"
"In post","2023","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","190","175","30170","29050"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA","45","40","21080","19930"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AO","335","290","23070","21780"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","260","235","28050","28120"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6","5","5","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G7","20","15","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","HEO","70","65","34710","34170"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO","35","35","44190","41870"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","110","100","31660","30810"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire","AA","50","45","21880","21380"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire","AO","145","130","24890","22220"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire","EO","125","110","28330","28120"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire","G6","5","5","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire","G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire","HEO","60","60","34410","34170"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire","SEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire","Unknown","65","60","30640","29050"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","AA","35","30","22140","22200"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","AO","100","90","26430","25480"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","EO","235","210","30160","31280"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","G7","30","25","[c]","[c]"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","HEO","65","60","37020","37520"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","SEO","45","40","45520","44210"
"In post","2023","Declared disabled","East of England","Bedfordshire and Hertfordshire","Unknown","90","80","31650","30810"
"In post","2023","Declared disabled","East of England","East Anglia","AA","110","100","21810","21380"
"In post","2023","Declared disabled","East of England","East Anglia","AO","440","395","25780","22520"
"In post","2023","Declared disabled","East of England","East Anglia","EO","470","420","28630","28120"
