"Status","Year","Function_of_post","Parent_department","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","London","London","10","10","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","London","London","95","95","34080","30130"
"In post","2023","Analysis","Cabinet Office","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Scotland","Outside London","10","10","34440","32960"
"In post","2023","Analysis","Cabinet Office","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","London","London","195","185","69680","65800"
"In post","2023","Analysis","Chancellor's other departments","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Scotland","Outside London","15","15","65600","67430"
"In post","2023","Analysis","Charity Commission","London","London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","North West (England)","Outside London","10","10","31600","30170"
"In post","2023","Analysis","Charity Commission","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","London","London","125","120","64110","58050"
"In post","2023","Analysis","Competition and Markets Authority","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Scotland","Outside London","10","10","47640","34370"
"In post","2023","Analysis","Competition and Markets Authority","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","London","London","210","210","44280","37550"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","Outside London","25","25","35220","32030"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","Wales","Outside London","55","50","38990","37350"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Outside London","10","10","36180","36340"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","London","London","120","120","51290","56760"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","North West (England)","Outside London","15","15","44440","39620"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","East Midlands (England)","Outside London","20","15","46720","43250"
"In post","2023","Analysis","Department for Education","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education","London","London","230","215","50870","47320"
"In post","2023","Analysis","Department for Education","North East (England)","Outside London","55","50","44690","43490"
"In post","2023","Analysis","Department for Education","North West (England)","Outside London","65","65","39710","38210"
"In post","2023","Analysis","Department for Education","South West (England)","Outside London","50","50","42410","43250"
"In post","2023","Analysis","Department for Education","West Midlands (England)","Outside London","30","30","43130","41510"
"In post","2023","Analysis","Department for Education","Yorkshire and The Humber","Outside London","155","145","45490","43490"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","East of England","Outside London","345","325","36460","32080"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","North West (England)","Outside London","20","20","32770","30320"
"In post","2023","Analysis","Department for Environment, Food and Rural Affairs","South East (England)","Outside London","[c]","[c]","[c]","[c]"
