"Status","Year","Ethnicity","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Bedfordshire and Hertfordshire","Outside London","665","605","33310","30930"
"In post","2023","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","635","585","32800","30200"
"In post","2023","Asian","Cheshire","Outside London","90","85","31800","30530"
"In post","2023","Asian","Cornwall and Isles of Scilly","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Cumbria","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Derbyshire and Nottinghamshire","Outside London","1045","975","32080","28120"
"In post","2023","Asian","Devon","Outside London","75","65","35000","31240"
"In post","2023","Asian","Dorset and Somerset","Outside London","30","30","32020","28500"
"In post","2023","Asian","East Anglia","Outside London","390","345","29320","25880"
"In post","2023","Asian","East Wales","Outside London","475","455","34320","30610"
"In post","2023","Asian","East Yorkshire and Northern Lincolnshire","Outside London","40","40","32740","28880"
"In post","2023","Asian","Eastern Scotland","Outside London","285","275","35920","31060"
"In post","2023","Asian","Essex","Outside London","180","170","35890","31280"
"In post","2023","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","840","800","36700","33770"
"In post","2023","Asian","Greater Manchester","Outside London","1965","1865","31930","28120"
"In post","2023","Asian","Hampshire and Isle of Wight","Outside London","385","355","31590","28120"
"In post","2023","Asian","Herefordshire, Worcestershire and Warwickshire","Outside London","210","190","29270","28120"
"In post","2023","Asian","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Inner London - East","London","3135","2975","40280","35410"
"In post","2023","Asian","Inner London - West","London","6575","6385","44400","41060"
"In post","2023","Asian","Kent","Outside London","180","170","30810","31280"
"In post","2023","Asian","Lancashire","Outside London","1135","1025","27230","23640"
"In post","2023","Asian","Leicestershire, Rutland and Northamptonshire","Outside London","1005","900","27140","25830"
"In post","2023","Asian","Lincolnshire","Outside London","25","20","[c]","[c]"
"In post","2023","Asian","Merseyside","Outside London","260","245","32490","27890"
"In post","2023","Asian","North Eastern Scotland","Outside London","35","35","44520","36530"
"In post","2023","Asian","North Yorkshire","Outside London","85","80","33360","29430"
"In post","2023","Asian","Northern Ireland","Outside London","20","15","[c]","[c]"
"In post","2023","Asian","Northumberland, and Tyne and Wear","Outside London","525","495","31070","27890"
"In post","2023","Asian","Outer London - East and North East","London","880","780","31120","32520"
"In post","2023","Asian","Outer London - South","London","1915","1800","37260","32540"
"In post","2023","Asian","Outer London - West and North West","London","2550","2340","33690","31600"
"In post","2023","Asian","Overseas","Overseas","170","170","51850","53970"
"In post","2023","Asian","Shropshire and Staffordshire","Outside London","390","375","35330","32160"
"In post","2023","Asian","South Yorkshire","Outside London","515","480","31250","26940"
"In post","2023","Asian","Southern Scotland","Outside London","65","55","30580","22520"
"In post","2023","Asian","Surrey, East and West Sussex","Outside London","380","355","33180","30050"
"In post","2023","Asian","Tees Valley and Durham","Outside London","160","140","31410","28120"
"In post","2023","Asian","Unknown","Unknown","70","65","33840","28120"
"In post","2023","Asian","West Central Scotland","Outside London","410","385","32030","28120"
"In post","2023","Asian","West Midlands","Outside London","4770","4460","30040","28120"
"In post","2023","Asian","West Wales and The Valleys","Outside London","170","155","30320","26960"
"In post","2023","Asian","West Yorkshire","Outside London","2605","2410","30220","28120"
"In post","2023","Black","Bedfordshire and Hertfordshire","Outside London","275","260","32540","30880"
"In post","2023","Black","Berkshire, Buckinghamshire and Oxfordshire","Outside London","310","300","31550","30720"
"In post","2023","Black","Cheshire","Outside London","40","40","33730","30740"
"In post","2023","Black","Cornwall and Isles of Scilly","Outside London","5","5","[c]","[c]"
"In post","2023","Black","Cumbria","Outside London","5","5","[c]","[c]"
"In post","2023","Black","Derbyshire and Nottinghamshire","Outside London","425","410","29990","28120"
"In post","2023","Black","Devon","Outside London","25","25","[c]","[c]"
"In post","2023","Black","Dorset and Somerset","Outside London","20","20","[c]","[c]"
"In post","2023","Black","East Anglia","Outside London","140","135","33110","28880"
"In post","2023","Black","East Wales","Outside London","190","180","33660","30830"
"In post","2023","Black","East Yorkshire and Northern Lincolnshire","Outside London","30","30","[c]","[c]"
"In post","2023","Black","Eastern Scotland","Outside London","135","130","33970","29100"
"In post","2023","Black","Essex","Outside London","205","195","31840","31280"
"In post","2023","Black","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","540","520","34850","33390"
"In post","2023","Black","Greater Manchester","Outside London","735","705","31530","28120"
"In post","2023","Black","Hampshire and Isle of Wight","Outside London","185","170","31420","28200"
"In post","2023","Black","Herefordshire, Worcestershire and Warwickshire","Outside London","70","65","30760","28120"
"In post","2023","Black","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Black","Inner London - East","London","2635","2530","36330","32520"
"In post","2023","Black","Inner London - West","London","4295","4190","39990","35650"
"In post","2023","Black","Kent","Outside London","215","210","32570","31280"
"In post","2023","Black","Lancashire","Outside London","70","70","30830","28120"
"In post","2023","Black","Leicestershire, Rutland and Northamptonshire","Outside London","210","190","27930","26140"
"In post","2023","Black","Lincolnshire","Outside London","25","25","[c]","[c]"
"In post","2023","Black","Merseyside","Outside London","165","160","30340","27500"
"In post","2023","Black","North Eastern Scotland","Outside London","20","15","[c]","[c]"
"In post","2023","Black","North Yorkshire","Outside London","30","30","35060","32050"
"In post","2023","Black","Northern Ireland","Outside London","5","5","[c]","[c]"
"In post","2023","Black","Northumberland, and Tyne and Wear","Outside London","150","145","31180","28120"
"In post","2023","Black","Outer London - East and North East","London","820","775","32630","32520"
"In post","2023","Black","Outer London - South","London","1750","1675","35470","32520"
"In post","2023","Black","Outer London - West and North West","London","810","765","33760","32520"
"In post","2023","Black","Overseas","Overseas","70","70","48280","50400"
"In post","2023","Black","Shropshire and Staffordshire","Outside London","145","140","32650","31270"
"In post","2023","Black","South Yorkshire","Outside London","180","175","30220","28120"
"In post","2023","Black","Southern Scotland","Outside London","35","35","35140","28120"
"In post","2023","Black","Surrey, East and West Sussex","Outside London","275","260","32790","31280"
"In post","2023","Black","Tees Valley and Durham","Outside London","60","55","32000","30600"
"In post","2023","Black","Unknown","Unknown","30","30","33330","28120"
"In post","2023","Black","West Central Scotland","Outside London","180","170","30480","28120"
"In post","2023","Black","West Midlands","Outside London","1260","1180","30460","28120"
"In post","2023","Black","West Wales and The Valleys","Outside London","75","70","28090","28100"
"In post","2023","Black","West Yorkshire","Outside London","445","430","31780","28120"
"In post","2023","Mixed","Bedfordshire and Hertfordshire","Outside London","150","145","35060","30880"
"In post","2023","Mixed","Berkshire, Buckinghamshire and Oxfordshire","Outside London","205","195","33680","30810"
"In post","2023","Mixed","Cheshire","Outside London","70","65","34540","32920"
"In post","2023","Mixed","Cornwall and Isles of Scilly","Outside London","25","20","[c]","[c]"
"In post","2023","Mixed","Cumbria","Outside London","20","20","[c]","[c]"
"In post","2023","Mixed","Derbyshire and Nottinghamshire","Outside London","290","275","31650","28120"
"In post","2023","Mixed","Devon","Outside London","135","125","34010","30870"
"In post","2023","Mixed","Dorset and Somerset","Outside London","65","60","33200","30380"
"In post","2023","Mixed","East Anglia","Outside London","220","210","33140","29890"
"In post","2023","Mixed","East Wales","Outside London","310","295","35030","31560"
"In post","2023","Mixed","East Yorkshire and Northern Lincolnshire","Outside London","55","50","31450","28880"
"In post","2023","Mixed","Eastern Scotland","Outside London","180","175","39210","33010"
"In post","2023","Mixed","Essex","Outside London","80","75","34070","31280"
"In post","2023","Mixed","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","500","480","36770","33040"
"In post","2023","Mixed","Greater Manchester","Outside London","450","430","33480","28980"
"In post","2023","Mixed","Hampshire and Isle of Wight","Outside London","250","235","36000","31270"
"In post","2023","Mixed","Herefordshire, Worcestershire and Warwickshire","Outside London","60","55","30150","28120"
"In post","2023","Mixed","Highlands and Islands","Outside London","5","5","[c]","[c]"
"In post","2023","Mixed","Inner London - East","London","630","610","41700","36100"
"In post","2023","Mixed","Inner London - West","London","2130","2080","46790","42990"
"In post","2023","Mixed","Kent","Outside London","150","140","31680","30030"
"In post","2023","Mixed","Lancashire","Outside London","160","150","30850","28120"
"In post","2023","Mixed","Leicestershire, Rutland and Northamptonshire","Outside London","125","115","30380","28120"
"In post","2023","Mixed","Lincolnshire","Outside London","35","35","33940","29570"
"In post","2023","Mixed","Merseyside","Outside London","320","300","30590","27260"
"In post","2023","Mixed","North Eastern Scotland","Outside London","10","10","[c]","[c]"
"In post","2023","Mixed","North Yorkshire","Outside London","65","60","34660","31110"
"In post","2023","Mixed","Northern Ireland","Outside London","20","20","[c]","[c]"
"In post","2023","Mixed","Northumberland, and Tyne and Wear","Outside London","195","180","31670","28120"
"In post","2023","Mixed","Outer London - East and North East","London","120","115","33120","32520"
"In post","2023","Mixed","Outer London - South","London","440","420","39420","36020"
"In post","2023","Mixed","Outer London - West and North West","London","285","270","34500","32520"
"In post","2023","Mixed","Overseas","Overseas","130","130","49790","46640"
"In post","2023","Mixed","Shropshire and Staffordshire","Outside London","140","135","34940","30180"
"In post","2023","Mixed","South Yorkshire","Outside London","175","165","34530","28120"
"In post","2023","Mixed","Southern Scotland","Outside London","25","25","[c]","[c]"
"In post","2023","Mixed","Surrey, East and West Sussex","Outside London","220","210","32700","30690"
"In post","2023","Mixed","Tees Valley and Durham","Outside London","105","100","31730","29930"
"In post","2023","Mixed","Unknown","Unknown","20","20","[c]","[c]"
"In post","2023","Mixed","West Central Scotland","Outside London","145","140","34550","29450"
"In post","2023","Mixed","West Midlands","Outside London","495","465","31040","28120"
"In post","2023","Mixed","West Wales and The Valleys","Outside London","155","145","29420","27450"
"In post","2023","Mixed","West Yorkshire","Outside London","340","320","32930","28880"
"In post","2023","Other ethnicity","Bedfordshire and Hertfordshire","Outside London","35","35","36890","32520"
"In post","2023","Other ethnicity","Berkshire, Buckinghamshire and Oxfordshire","Outside London","60","55","35280","32450"
"In post","2023","Other ethnicity","Cheshire","Outside London","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Cornwall and Isles of Scilly","Outside London","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","Derbyshire and Nottinghamshire","Outside London","45","40","31960","30850"
"In post","2023","Other ethnicity","Devon","Outside London","35","30","36730","37420"
"In post","2023","Other ethnicity","Dorset and Somerset","Outside London","10","10","[c]","[c]"
"In post","2023","Other ethnicity","East Anglia","Outside London","40","40","30310","28120"
"In post","2023","Other ethnicity","East Wales","Outside London","85","80","35360","32460"
"In post","2023","Other ethnicity","East Yorkshire and Northern Lincolnshire","Outside London","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Eastern Scotland","Outside London","60","60","37150","31970"
"In post","2023","Other ethnicity","Essex","Outside London","30","30","31510","29850"
"In post","2023","Other ethnicity","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","65","60","36480","33710"
"In post","2023","Other ethnicity","Greater Manchester","Outside London","110","105","33860","28900"
"In post","2023","Other ethnicity","Hampshire and Isle of Wight","Outside London","40","35","33640","31350"
"In post","2023","Other ethnicity","Herefordshire, Worcestershire and Warwickshire","Outside London","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Highlands and Islands","Outside London","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Inner London - East","London","280","265","44510","39070"
"In post","2023","Other ethnicity","Inner London - West","London","795","775","46580","42280"
"In post","2023","Other ethnicity","Kent","Outside London","35","30","33430","32000"
"In post","2023","Other ethnicity","Lancashire","Outside London","35","30","30620","29050"
"In post","2023","Other ethnicity","Leicestershire, Rutland and Northamptonshire","Outside London","30","25","[c]","[c]"
"In post","2023","Other ethnicity","Lincolnshire","Outside London","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Merseyside","Outside London","45","45","31960","28120"
"In post","2023","Other ethnicity","North Eastern Scotland","Outside London","10","10","[c]","[c]"
"In post","2023","Other ethnicity","North Yorkshire","Outside London","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Northern Ireland","Outside London","5","5","[c]","[c]"
"In post","2023","Other ethnicity","Northumberland, and Tyne and Wear","Outside London","45","40","31940","28120"
"In post","2023","Other ethnicity","Outer London - East and North East","London","80","70","32720","32520"
"In post","2023","Other ethnicity","Outer London - South","London","120","115","36900","32520"
"In post","2023","Other ethnicity","Outer London - West and North West","London","130","120","36060","32520"
"In post","2023","Other ethnicity","Overseas","Overseas","45","45","49720","49960"
"In post","2023","Other ethnicity","Shropshire and Staffordshire","Outside London","25","25","[c]","[c]"
"In post","2023","Other ethnicity","South Yorkshire","Outside London","50","50","31290","28120"
"In post","2023","Other ethnicity","Southern Scotland","Outside London","20","20","[c]","[c]"
"In post","2023","Other ethnicity","Surrey, East and West Sussex","Outside London","65","60","30910","28130"
"In post","2023","Other ethnicity","Tees Valley and Durham","Outside London","30","30","35830","30510"
"In post","2023","Other ethnicity","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","Other ethnicity","West Central Scotland","Outside London","55","55","35480","30500"
"In post","2023","Other ethnicity","West Midlands","Outside London","140","130","32490","28120"
"In post","2023","Other ethnicity","West Wales and The Valleys","Outside London","30","30","30740","28120"
"In post","2023","Other ethnicity","West Yorkshire","Outside London","65","60","35200","32920"
"In post","2023","Undeclared","Bedfordshire and Hertfordshire","Outside London","210","200","34150","31540"
"In post","2023","Undeclared","Berkshire, Buckinghamshire and Oxfordshire","Outside London","390","365","37420","34310"
"In post","2023","Undeclared","Cheshire","Outside London","155","150","34240","31910"
"In post","2023","Undeclared","Cornwall and Isles of Scilly","Outside London","85","80","28680","27100"
"In post","2023","Undeclared","Cumbria","Outside London","105","95","29440","25920"
"In post","2023","Undeclared","Derbyshire and Nottinghamshire","Outside London","515","480","34750","31350"
"In post","2023","Undeclared","Devon","Outside London","315","285","31880","28120"
"In post","2023","Undeclared","Dorset and Somerset","Outside London","225","215","33340","31920"
"In post","2023","Undeclared","East Anglia","Outside London","545","505","33230","31670"
"In post","2023","Undeclared","East Wales","Outside London","590","560","38500","34520"
"In post","2023","Undeclared","East Yorkshire and Northern Lincolnshire","Outside London","170","155","30850","28120"
"In post","2023","Undeclared","Eastern Scotland","Outside London","585","545","39130","37060"
"In post","2023","Undeclared","Essex","Outside London","210","190","31300","29330"
"In post","2023","Undeclared","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","1460","1390","41130","39890"
"In post","2023","Undeclared","Greater Manchester","Outside London","755","705","35280","32160"
"In post","2023","Undeclared","Hampshire and Isle of Wight","Outside London","745","700","37730","34320"
"In post","2023","Undeclared","Herefordshire, Worcestershire and Warwickshire","Outside London","140","135","31630","28120"
"In post","2023","Undeclared","Highlands and Islands","Outside London","65","60","31790","28140"
"In post","2023","Undeclared","Inner London - East","London","865","820","43660","39150"
"In post","2023","Undeclared","Inner London - West","London","2200","2140","50450","46470"
"In post","2023","Undeclared","Kent","Outside London","430","395","31380","29590"
"In post","2023","Undeclared","Lancashire","Outside London","495","445","32340","28120"
"In post","2023","Undeclared","Leicestershire, Rutland and Northamptonshire","Outside London","250","235","29090","28080"
"In post","2023","Undeclared","Lincolnshire","Outside London","120","115","33210","30350"
"In post","2023","Undeclared","Merseyside","Outside London","630","575","31980","28120"
"In post","2023","Undeclared","North Eastern Scotland","Outside London","60","60","44840","37700"
"In post","2023","Undeclared","North Yorkshire","Outside London","210","205","36120","33830"
"In post","2023","Undeclared","Northern Ireland","Outside London","85","80","32440","28490"
"In post","2023","Undeclared","Northumberland, and Tyne and Wear","Outside London","785","720","32930","28120"
"In post","2023","Undeclared","Outer London - East and North East","London","260","235","31600","32520"
"In post","2023","Undeclared","Outer London - South","London","575","545","40830","36310"
"In post","2023","Undeclared","Outer London - West and North West","London","525","475","37140","32520"
"In post","2023","Undeclared","Overseas","Overseas","170","170","51870","52570"
"In post","2023","Undeclared","Shropshire and Staffordshire","Outside London","285","260","33650","30470"
"In post","2023","Undeclared","South Yorkshire","Outside London","405","375","34820","32160"
"In post","2023","Undeclared","Southern Scotland","Outside London","135","125","32540","28130"
"In post","2023","Undeclared","Surrey, East and West Sussex","Outside London","420","375","34470","31000"
"In post","2023","Undeclared","Tees Valley and Durham","Outside London","265","240","31820","28120"
"In post","2023","Undeclared","Unknown","Unknown","45","45","32380","28490"
"In post","2023","Undeclared","West Central Scotland","Outside London","685","620","33690","29450"
"In post","2023","Undeclared","West Midlands","Outside London","820","745","32230","28120"
