"Status","Year","Ethnicity","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","East Midlands (England)","AA","35","30","20930","19930"
"In post","2023","Asian","East Midlands (England)","AO","755","655","22690","21780"
"In post","2023","Asian","East Midlands (England)","EO","620","575","27870","28120"
"In post","2023","Asian","East Midlands (England)","G6","25","25","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","G7","85","80","55980","56450"
"In post","2023","Asian","East Midlands (England)","HEO","290","275","34340","34700"
"In post","2023","Asian","East Midlands (England)","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","SEO","160","155","42000","42140"
"In post","2023","Asian","East Midlands (England)","Unknown","110","100","28420","25300"
"In post","2023","Asian","East of England","AA","35","30","21850","22390"
"In post","2023","Asian","East of England","AO","385","330","24550","22820"
"In post","2023","Asian","East of England","EO","420","385","29300","28200"
"In post","2023","Asian","East of England","G6","20","20","[c]","[c]"
"In post","2023","Asian","East of England","G7","65","65","58870","55530"
"In post","2023","Asian","East of England","HEO","130","120","35630","35020"
"In post","2023","Asian","East of England","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","East of England","SEO","100","100","43180","41890"
"In post","2023","Asian","East of England","Unknown","70","65","28630","26840"
"In post","2023","Asian","London","AA","250","225","24120","23500"
"In post","2023","Asian","London","AO","2090","1860","26570","26100"
"In post","2023","Asian","London","EO","4305","3990","31230","31310"
"In post","2023","Asian","London","G6","670","650","71180","69370"
"In post","2023","Asian","London","G7","2105","2055","58550","57260"
"In post","2023","Asian","London","HEO","3060","2985","36850","36180"
"In post","2023","Asian","London","SCS level","240","235","92260","84080"
"In post","2023","Asian","London","SEO","2135","2090","44200","43650"
"In post","2023","Asian","London","Unknown","205","195","33730","33050"
"In post","2023","Asian","North East (England)","AA","5","5","[c]","[c]"
"In post","2023","Asian","North East (England)","AO","250","225","22270","22400"
"In post","2023","Asian","North East (England)","EO","175","160","27720","28120"
"In post","2023","Asian","North East (England)","G6","10","10","[c]","[c]"
"In post","2023","Asian","North East (England)","G7","60","60","54580","54060"
"In post","2023","Asian","North East (England)","HEO","95","90","33890","34400"
"In post","2023","Asian","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North East (England)","SEO","70","70","41800","41780"
"In post","2023","Asian","North East (England)","Unknown","20","15","[c]","[c]"
"In post","2023","Asian","North West (England)","AA","45","35","21750","21570"
"In post","2023","Asian","North West (England)","AO","1130","1000","22350","22220"
"In post","2023","Asian","North West (England)","EO","1025","965","27710","28120"
"In post","2023","Asian","North West (England)","G6","30","30","[c]","[c]"
"In post","2023","Asian","North West (England)","G7","225","220","54800","54680"
"In post","2023","Asian","North West (England)","HEO","575","555","34090","34400"
"In post","2023","Asian","North West (England)","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","North West (England)","SEO","290","285","41320","41480"
"In post","2023","Asian","North West (England)","Unknown","135","125","28810","25300"
"In post","2023","Asian","Northern Ireland","AA","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","AO","5","5","[c]","[c]"
