"Status","Year","Parent_department","Region_ITL2","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","AA/AO","Female","35","30","23960","24480"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","EO","Female","30","25","29360","28870"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","EO","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","G6/G7","Female","50","40","61010","63130"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","G6/G7","Male","40","40","61650","63370"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","SEO/HEO","Female","20","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Female","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","EO","Female","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","EO","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Female","35","30","61190","61910"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","EO","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","EO","Female","10","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","G6/G7","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","AA/AO","Female","10","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","G6/G7","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","G6/G7","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","AA/AO","Female","55","50","22520","22870"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","AA/AO","Male","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","EO","Female","45","40","27480","26900"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","EO","Male","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","G6/G7","Female","80","70","55470","53750"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","G6/G7","Male","40","40","54040","51670"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","SEO/HEO","Female","30","30","35100","33100"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Devon","AA/AO","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Devon","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Devon","EO","Female","15","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Devon","EO","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Devon","G6/G7","Female","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Devon","G6/G7","Male","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Devon","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Devon","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Dorset and Somerset","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Dorset and Somerset","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","AA/AO","Female","35","30","22450","22870"
"In post","2023","Attorney General's Departments","East Anglia","AA/AO","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","EO","Female","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","EO","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","G6/G7","Female","25","20","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","G6/G7","Male","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","SEO/HEO","Female","20","15","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Wales","AA/AO","Female","55","50","22940","22870"
"In post","2023","Attorney General's Departments","East Wales","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","East Wales","EO","Female","50","45","27870","27440"
"In post","2023","Attorney General's Departments","East Wales","EO","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","East Wales","G6/G7","Female","95","85","54770","54800"
"In post","2023","Attorney General's Departments","East Wales","G6/G7","Male","55","50","57300","56450"
"In post","2023","Attorney General's Departments","East Wales","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Wales","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Wales","SEO/HEO","Female","30","25","[c]","[c]"
"In post","2023","Attorney General's Departments","East Wales","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","AA/AO","Female","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","EO","Female","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","G6/G7","Female","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","G6/G7","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex","AA/AO","Female","40","35","24060","24480"
"In post","2023","Attorney General's Departments","Essex","AA/AO","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex","EO","Female","35","30","29540","29850"
"In post","2023","Attorney General's Departments","Essex","EO","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex","G6/G7","Female","65","60","60250","57650"
"In post","2023","Attorney General's Departments","Essex","G6/G7","Male","20","20","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","Female","35","35","22310","22870"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","EO","Female","35","30","27820","27150"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","EO","Male","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","Female","95","85","56110","53750"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","Male","55","55","57980","56450"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","Female","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester","AA/AO","Female","65","60","22830","22870"
"In post","2023","Attorney General's Departments","Greater Manchester","AA/AO","Male","15","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester","EO","Female","65","60","28150","28850"
