"Status","Year","Region_ITL2","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Bedfordshire and Hertfordshire","AA","Female","Heterosexual / straight","90","75","21910","22600"
"In post","2023","Bedfordshire and Hertfordshire","AA","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","AA","Female","Undeclared","10","10","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","AA","Female","Unknown","20","15","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","AA","Male","Heterosexual / straight","90","90","22660","23230"
"In post","2023","Bedfordshire and Hertfordshire","AA","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","AA","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","AA","Male","Unknown","25","20","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","AO","Female","Heterosexual / straight","400","360","25820","25480"
"In post","2023","Bedfordshire and Hertfordshire","AO","Female","LGBO","30","30","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","AO","Female","Undeclared","55","45","25640","25480"
"In post","2023","Bedfordshire and Hertfordshire","AO","Female","Unknown","90","80","25980","25480"
"In post","2023","Bedfordshire and Hertfordshire","AO","Male","Heterosexual / straight","285","280","29110","30880"
"In post","2023","Bedfordshire and Hertfordshire","AO","Male","LGBO","20","20","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","AO","Male","Undeclared","30","30","27920","26740"
"In post","2023","Bedfordshire and Hertfordshire","AO","Male","Unknown","70","70","28690","30880"
"In post","2023","Bedfordshire and Hertfordshire","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Bedfordshire and Hertfordshire","EO","Female","Heterosexual / straight","610","550","29900","30210"
"In post","2023","Bedfordshire and Hertfordshire","EO","Female","LGBO","25","25","[c]","[c]"
