"Status","Year","Age","Function_of_post","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","East Wales","Monmouthshire and Newport","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","10","10","22970","23340"
"In post","2023","16-19","Analysis","Greater Manchester","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Hampshire and Isle of Wight","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Hampshire and Isle of Wight","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Inner London - East","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Inner London - West","Westminster","15","15","28020","28510"
"In post","2023","16-19","Analysis","Merseyside","Liverpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Outer London - South","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","South Yorkshire","Sheffield","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Tees Valley and Durham","Darlington","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","West Midlands","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Eastern Scotland","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Merseyside","Liverpool","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
