"Status","Year","Age","Region_ITL3","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Aberdeen City and Aberdeenshire","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Angus and Dundee City","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Angus and Dundee City","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Angus and Dundee City","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnet","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnet","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Barnsley, Doncaster and Rotherham","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Heterosexual / straight","35","35","20190","19460"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","LGBO","5","5","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","55","55","18900","18280"
"In post","2023","16-19","Bedford","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bedford","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Belfast","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Belfast","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Belfast","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bexley and Greenwich","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bexley and Greenwich","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bexley and Greenwich","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Birmingham","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Birmingham","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Birmingham","Outside London","Unknown","25","20","[c]","[c]"
"In post","2023","16-19","Blackpool","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Blackpool","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Blackpool","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bradford","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Bradford","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bradford","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bradford","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Breckland and South Norfolk","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Breckland and South Norfolk","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bridgend and Neath Port Talbot","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bridgend and Neath Port Talbot","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Brighton and Hove","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Brighton and Hove","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Brighton and Hove","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bristol, City of","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Bristol, City of","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bristol, City of","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bristol, City of","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Buckinghamshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Buckinghamshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Buckinghamshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cambridgeshire CC","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Cambridgeshire CC","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cambridgeshire CC","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Cardiff and Vale of Glamorgan","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2023","16-19","Cardiff and Vale of Glamorgan","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cardiff and Vale of Glamorgan","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cardiff and Vale of Glamorgan","Outside London","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Central Hampshire","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Central Hampshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Central Hampshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Central Valleys","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Central Valleys","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Central Valleys","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cheshire East","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cheshire East","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cheshire East","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chorley and West Lancashire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chorley and West Lancashire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Chorley and West Lancashire","Outside London","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","City of Edinburgh","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","City of Edinburgh","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","City of Edinburgh","Outside London","Unknown","15","15","[c]","[c]"
"In post","2023","16-19","Clackmannanshire and Fife","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Clackmannanshire and Fife","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Clackmannanshire and Fife","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Coventry","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Coventry","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Croydon","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Croydon","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Croydon","London","Unknown","10","10","[c]","[c]"
"In post","2023","16-19","Darlington","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Darlington","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Darlington","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Devon CC","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Devon CC","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Devon CC","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dorset","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dorset","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dorset","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dorset","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dudley","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dudley","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dumfries and Galloway","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dumfries and Galloway","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dumfries and Galloway","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Durham","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Durham","Outside London","LGBO","[c]","[c]","[c]","[c]"
