"Status","Year","Function_of_post","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","EO","10","10","27210","27330"
"In post","2023","Analysis","East Midlands (England)","G6/G7","30","25","56820","55290"
"In post","2023","Analysis","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Midlands (England)","SEO/HEO","80","75","36950","36620"
"In post","2023","Analysis","East of England","AA/AO","15","15","21600","22150"
"In post","2023","Analysis","East of England","EO","60","55","26060","25920"
"In post","2023","Analysis","East of England","G6/G7","85","80","54270","50020"
"In post","2023","Analysis","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East of England","SEO/HEO","235","225","34900","37300"
"In post","2023","Analysis","London","AA/AO","75","75","24630","23500"
"In post","2023","Analysis","London","EO","355","350","29790","29660"
"In post","2023","Analysis","London","G6/G7","1770","1700","63720","61260"
"In post","2023","Analysis","London","SCS level","165","155","91420","83400"
"In post","2023","Analysis","London","SEO/HEO","2055","2020","39730","39150"
"In post","2023","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North East (England)","AA/AO","20","20","21710","21200"
"In post","2023","Analysis","North East (England)","EO","35","35","26190","25660"
"In post","2023","Analysis","North East (England)","G6/G7","95","90","56430","53190"
"In post","2023","Analysis","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North East (England)","SEO/HEO","210","200","36070","34780"
"In post","2023","Analysis","North West (England)","AA/AO","10","10","22240","22520"
"In post","2023","Analysis","North West (England)","EO","65","65","26950","27140"
"In post","2023","Analysis","North West (England)","G6/G7","160","155","58430","57970"
"In post","2023","Analysis","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","North West (England)","SEO/HEO","410","400","37260","35330"
"In post","2023","Analysis","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","EO","20","20","27710","28120"
"In post","2023","Analysis","Scotland","G6/G7","55","55","61510","58870"
"In post","2023","Analysis","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Scotland","SEO/HEO","95","95","36410","34320"
"In post","2023","Analysis","South East (England)","AA/AO","10","10","21410","21200"
"In post","2023","Analysis","South East (England)","EO","65","60","26660","25600"
