"Status","Year","Age","Region_ITL2","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Bedfordshire and Hertfordshire","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bedfordshire and Hertfordshire","Hertfordshire CC","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Outside London","35","35","24250","23800"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Cheshire","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cheshire","Warrington","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cumbria","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cumbria","West Cumbria","Outside London","10","10","23970","23110"
"In post","2023","16-19","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","Nottingham","Outside London","30","30","23870","22520"
"In post","2023","16-19","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Devon","Devon CC","Outside London","15","15","22310","19770"
"In post","2023","16-19","Devon","Plymouth","Outside London","20","20","21840","21570"
"In post","2023","16-19","Dorset and Somerset","Dorset","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Dorset and Somerset","Somerset CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Anglia","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Anglia","Cambridgeshire CC","Outside London","10","10","25260","24070"
"In post","2023","16-19","East Anglia","North and West Norfolk","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","East Anglia","Norwich and East Norfolk","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","East Anglia","Peterborough","Outside London","10","5","[c]","[c]"
"In post","2023","16-19","East Anglia","Suffolk CC","Outside London","15","10","23710","23230"
"In post","2023","16-19","East Wales","Cardiff and Vale of Glamorgan","Outside London","30","30","22940","22520"
"In post","2023","16-19","East Wales","Flintshire and Wrexham","Outside London","15","15","20700","19840"
"In post","2023","16-19","East Wales","Monmouthshire and Newport","Outside London","20","20","22720","21780"
"In post","2023","16-19","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Eastern Scotland","Angus and Dundee City","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Eastern Scotland","City of Edinburgh","Outside London","20","20","23050","22520"
"In post","2023","16-19","Eastern Scotland","Clackmannanshire and Fife","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Eastern Scotland","Falkirk","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Eastern Scotland","Perth and Kinross, and Stirling","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Essex","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Essex","Heart of Essex","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Essex","Thurrock","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","100","100","19430","18780"
"In post","2023","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Outside London","20","20","22810","22520"
"In post","2023","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Outside London","40","40","22460","23290"
"In post","2023","16-19","Greater Manchester","Greater Manchester North East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester","Greater Manchester North West","Outside London","10","10","25630","26260"
"In post","2023","16-19","Greater Manchester","Greater Manchester South East","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester","Greater Manchester South West","Outside London","15","15","23560","22520"
"In post","2023","16-19","Greater Manchester","Manchester","Outside London","20","20","23010","21690"
"In post","2023","16-19","Hampshire and Isle of Wight","Central Hampshire","Outside London","10","10","27730","30520"
"In post","2023","16-19","Hampshire and Isle of Wight","Isle of Wight","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Hampshire and Isle of Wight","North Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hampshire and Isle of Wight","Portsmouth","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Hampshire and Isle of Wight","South Hampshire","Outside London","30","25","21040","20320"
"In post","2023","16-19","Hampshire and Isle of Wight","Southampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Herefordshire, Worcestershire and Warwickshire","Warwickshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Highlands and Islands","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Highlands and Islands","Shetland Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - East","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - East","Lambeth","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - East","Lewisham and Southwark","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - East","Tower Hamlets","London","10","10","25670","25280"
"In post","2023","16-19","Inner London - West","Wandsworth","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Inner London - West","Westminster","London","60","60","26990","27820"
"In post","2023","16-19","Kent","East Kent","Outside London","45","45","23400","22400"
"In post","2023","16-19","Kent","Kent Thames Gateway","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Kent","Medway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Kent","Mid Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lancashire","Blackpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lancashire","Chorley and West Lancashire","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Lancashire","Lancaster and Wyre","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Lancashire","Mid Lancashire","Outside London","15","10","23390","23230"
"In post","2023","16-19","Leicestershire, Rutland and Northamptonshire","Leicester","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","Outside London","15","15","24000","23230"
"In post","2023","16-19","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Lincolnshire","Lincolnshire CC","Outside London","15","15","24840","23230"
"In post","2023","16-19","Merseyside","Liverpool","Outside London","40","35","23110","22520"
"In post","2023","16-19","Merseyside","Sefton","Outside London","10","10","22810","22400"
"In post","2023","16-19","Merseyside","Wirral","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","North Eastern Scotland","Aberdeen City and Aberdeenshire","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","North Yorkshire","York","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Northern Ireland","Belfast","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northern Ireland","Lisburn and Castlereagh","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Northumberland, and Tyne and Wear","Sunderland","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Northumberland, and Tyne and Wear","Tyneside","Outside London","35","35","23030","22520"
"In post","2023","16-19","Outer London - East and North East","Bexley and Greenwich","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - South","Croydon","London","20","15","27420","26920"
"In post","2023","16-19","Outer London - West and North West","Barnet","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Outer London - West and North West","Harrow and Hillingdon","London","15","15","26990","26400"
"In post","2023","16-19","Outer London - West and North West","Hounslow and Richmond upon Thames","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Shropshire and Staffordshire","Shropshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Shropshire and Staffordshire","Staffordshire CC","Outside London","20","20","23890","23230"
"In post","2023","16-19","Shropshire and Staffordshire","Stoke-on-Trent","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South Yorkshire","Barnsley, Doncaster and Rotherham","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South Yorkshire","Sheffield","Outside London","15","15","22660","22090"
"In post","2023","16-19","Southern Scotland","Dumfries and Galloway","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Southern Scotland","East Ayrshire and North Ayrshire mainland","Outside London","15","15","20520","21090"
"In post","2023","16-19","Southern Scotland","Scottish Borders","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Southern Scotland","South Ayrshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Southern Scotland","South Lanarkshire","Outside London","10","10","22610","22520"
"In post","2023","16-19","Surrey, East and West Sussex","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Surrey, East and West Sussex","East Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Surrey, East and West Sussex","East Sussex CC","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Surrey, East and West Sussex","West Surrey","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Surrey, East and West Sussex","West Sussex (South West)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Tees Valley and Durham","Darlington","Outside London","10","10","[c]","[c]"
"In post","2023","16-19","Tees Valley and Durham","Durham","Outside London","25","25","25100","23230"
"In post","2023","16-19","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Tees Valley and Durham","South Teesside","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Unknown","Unknown","40","40","21120","17810"
"In post","2023","16-19","West Central Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","West Central Scotland","Glasgow City","Outside London","40","35","22720","22520"
"In post","2023","16-19","West Central Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Central Scotland","North Lanarkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Midlands","Birmingham","Outside London","45","45","23520","22510"
"In post","2023","16-19","West Midlands","Coventry","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Midlands","Dudley","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Midlands","Solihull","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Midlands","Wolverhampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Wales and The Valleys","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Wales and The Valleys","Central Valleys","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","West Wales and The Valleys","Gwynedd","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Wales and The Valleys","South West Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","West Wales and The Valleys","Swansea","Outside London","85","75","20850","21690"
"In post","2023","16-19","West Yorkshire","Bradford","Outside London","25","20","22230","22520"
"In post","2023","16-19","West Yorkshire","Leeds","Outside London","50","50","24180","22870"
"In post","2023","16-19","West Yorkshire","Wakefield","Outside London","10","10","26220","28880"
"In post","2023","20-29","Bedfordshire and Hertfordshire","Bedford","Outside London","160","160","29100","30880"
"In post","2023","20-29","Bedfordshire and Hertfordshire","Central Bedfordshire","Outside London","40","40","29060","28120"
"In post","2023","20-29","Bedfordshire and Hertfordshire","Hertfordshire CC","Outside London","375","365","32070","31280"
"In post","2023","20-29","Bedfordshire and Hertfordshire","Luton","Outside London","105","105","25850","25830"
"In post","2023","20-29","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","380","375","29870","29480"
"In post","2023","20-29","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Outside London","245","240","30640","30810"
"In post","2023","20-29","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Outside London","370","370","29070","28540"
"In post","2023","20-29","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","305","300","29650","30880"
"In post","2023","20-29","Cheshire","Cheshire East","Outside London","190","190","27480","28120"
"In post","2023","20-29","Cheshire","Cheshire West and Chester","Outside London","70","65","24330","23640"
"In post","2023","20-29","Cheshire","Warrington","Outside London","375","370","31310","30740"
"In post","2023","20-29","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","130","125","25880","24090"
"In post","2023","20-29","Cumbria","East Cumbria","Outside London","85","85","24160","22150"
"In post","2023","20-29","Cumbria","West Cumbria","Outside London","180","175","25700","22530"
