"Status","Year","Disability","Function_of_post","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","Bedfordshire and Hertfordshire","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bedfordshire and Hertfordshire","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bedfordshire and Hertfordshire","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Bedfordshire and Hertfordshire","Luton","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cheshire","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cheshire","Warrington","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cumbria","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Derbyshire and Nottinghamshire","Derby","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Derbyshire and Nottinghamshire","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Derbyshire and Nottinghamshire","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Derbyshire and Nottinghamshire","Nottingham","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Derbyshire and Nottinghamshire","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Derbyshire and Nottinghamshire","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Devon","Devon CC","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Devon","Plymouth","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Devon","Torbay","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Dorset and Somerset","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Dorset and Somerset","Dorset","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Dorset and Somerset","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Anglia","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Anglia","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Anglia","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Anglia","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Anglia","Peterborough","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Anglia","Suffolk CC","25","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Wales","Monmouthshire and Newport","105","100","37430","36490"
"In post","2023","Declared disabled","Analysis","East Wales","Powys","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Eastern Scotland","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Eastern Scotland","City of Edinburgh","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Eastern Scotland","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Eastern Scotland","Falkirk","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Essex","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Essex","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Essex","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","10","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","95","95","42540","39890"
"In post","2023","Declared disabled","Analysis","Greater Manchester","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Greater Manchester","Greater Manchester South West","25","25","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Greater Manchester","Manchester","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Hampshire and Isle of Wight","Central Hampshire","90","90","45980","49260"
"In post","2023","Declared disabled","Analysis","Hampshire and Isle of Wight","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Hampshire and Isle of Wight","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Hampshire and Isle of Wight","South Hampshire","70","65","41350","39300"
"In post","2023","Declared disabled","Analysis","Hampshire and Isle of Wight","Southampton","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Herefordshire, Worcestershire and Warwickshire","Warwickshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Inner London - East","Hackney and Newham","20","20","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Inner London - East","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Inner London - East","Lambeth","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Inner London - East","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Inner London - East","Tower Hamlets","70","65","45750","43650"
"In post","2023","Declared disabled","Analysis","Inner London - West","Camden and City of London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Inner London - West","Westminster","225","215","47410","43320"
"In post","2023","Declared disabled","Analysis","Kent","East Kent","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Kent","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Kent","Medway","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Kent","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Kent","West Kent","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","Lancashire","Blackburn with Darwen","[c]","[c]","[c]","[c]"
