"Status","Year","Function_of_post","Profession_of_post","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Digital, Data and Technology","Birmingham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Bristol, City of","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Bristol, City of","G6/G7","10","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Bristol, City of","SEO/HEO","10","10","37760","37760"
"In post","2023","Analysis","Digital, Data and Technology","Cardiff and Vale of Glamorgan","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Cardiff and Vale of Glamorgan","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Central Valleys","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Central Valleys","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","City of Edinburgh","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","City of Edinburgh","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","City of Edinburgh","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Coventry","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Coventry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Croydon","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Croydon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Glasgow City","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Glasgow City","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Greater Manchester South West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Leeds","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Leeds","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Liverpool","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Liverpool","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Manchester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Mid and East Antrim","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Monmouthshire and Newport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Monmouthshire and Newport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Nottingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Nottingham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Sheffield","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Sheffield","SEO/HEO","10","10","34710","32160"
"In post","2023","Analysis","Digital, Data and Technology","Suffolk CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Tower Hamlets","G6/G7","25","20","60150","55720"
"In post","2023","Analysis","Digital, Data and Technology","Tower Hamlets","SEO/HEO","35","35","40160","43650"
"In post","2023","Analysis","Digital, Data and Technology","Tyneside","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Westminster","G6/G7","10","10","63860","65960"
"In post","2023","Analysis","Digital, Data and Technology","Westminster","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Digital, Data and Technology","Westminster","SEO/HEO","20","20","39800","40550"
"In post","2023","Analysis","Economics","Bedford","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Berkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Birmingham","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Birmingham","G6/G7","10","10","77470","76500"
"In post","2023","Analysis","Economics","Birmingham","SEO/HEO","20","20","38660","36230"
"In post","2023","Analysis","Economics","Bristol, City of","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Bristol, City of","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Economics","Bristol, City of","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Calderdale and Kirklees","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Camden and City of London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Camden and City of London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Economics","Camden and City of London","SCS level","[c]","[c]","[c]","[c]"
