"Status","Year","Age","Function_of_post","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","East Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","East Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","East Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Greater Manchester","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Greater Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Hampshire and Isle of Wight","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Hampshire and Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Inner London - East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Inner London - West","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Analysis","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Inner London - West","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Outer London - South","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Outer London - South","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Outer London - South","Unknown","[c]","[c]","[c]","[c]"
