"Status","Year","Ethnicity","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","AA/AO","Heterosexual / straight","7215","6470","23750","22520"
"In post","2023","Asian","AA/AO","LGBO","185","170","24000","22520"
"In post","2023","Asian","AA/AO","Undeclared","585","510","23630","22520"
"In post","2023","Asian","AA/AO","Unknown","955","785","23410","22520"
"In post","2023","Asian","EO","Heterosexual / straight","8735","8205","29320","28130"
"In post","2023","Asian","EO","LGBO","175","165","29420","28120"
"In post","2023","Asian","EO","Undeclared","550","495","29450","28790"
"In post","2023","Asian","EO","Unknown","935","830","29660","28130"
"In post","2023","Asian","G6/G7","Heterosexual / straight","3730","3635","60300","58240"
"In post","2023","Asian","G6/G7","LGBO","120","120","58640","56410"
"In post","2023","Asian","G6/G7","Undeclared","185","180","59930","57970"
"In post","2023","Asian","G6/G7","Unknown","315","300","61500","60500"
"In post","2023","Asian","SCS level","Heterosexual / straight","290","280","92360","85000"
"In post","2023","Asian","SCS level","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","SCS level","Unknown","30","30","106830","97000"
"In post","2023","Asian","SEO/HEO","Heterosexual / straight","8760","8520","38520","37740"
"In post","2023","Asian","SEO/HEO","LGBO","220","215","38810","39020"
"In post","2023","Asian","SEO/HEO","Undeclared","475","455","38850","38680"
"In post","2023","Asian","SEO/HEO","Unknown","840","820","37860","37590"
"In post","2023","Asian","Unknown","Heterosexual / straight","960","895","30170","27640"
"In post","2023","Asian","Unknown","LGBO","20","20","[c]","[c]"
"In post","2023","Asian","Unknown","Undeclared","35","35","29990","27420"
"In post","2023","Asian","Unknown","Unknown","10","10","[c]","[c]"
"In post","2023","Black","AA/AO","Heterosexual / straight","3585","3355","25900","25480"
"In post","2023","Black","AA/AO","LGBO","90","85","25440","24480"
"In post","2023","Black","AA/AO","Undeclared","230","200","25450","25480"
"In post","2023","Black","AA/AO","Unknown","385","340","26160","25480"
"In post","2023","Black","EO","Heterosexual / straight","4330","4140","30310","30200"
"In post","2023","Black","EO","LGBO","105","105","29960","29750"
"In post","2023","Black","EO","Undeclared","235","220","30650","30540"
"In post","2023","Black","EO","Unknown","465","425","31170","32520"
"In post","2023","Black","G6/G7","Heterosexual / straight","1425","1405","59560","57580"
"In post","2023","Black","G6/G7","LGBO","45","45","61310","59290"
"In post","2023","Black","G6/G7","Undeclared","60","60","60590","59030"
"In post","2023","Black","G6/G7","Unknown","115","110","60400","58890"
"In post","2023","Black","SCS level","Heterosexual / straight","95","90","94040","84590"
"In post","2023","Black","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Black","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Black","SCS level","Unknown","10","10","[c]","[c]"
"In post","2023","Black","SEO/HEO","Heterosexual / straight","4180","4125","39070","38940"
"In post","2023","Black","SEO/HEO","LGBO","95","95","39090","39110"
"In post","2023","Black","SEO/HEO","Undeclared","195","190","39480","39150"
"In post","2023","Black","SEO/HEO","Unknown","305","295","38740","39190"
"In post","2023","Black","Unknown","Heterosexual / straight","1240","1185","31960","29300"
"In post","2023","Black","Unknown","LGBO","20","20","[c]","[c]"
"In post","2023","Black","Unknown","Undeclared","50","50","33690","33050"
"In post","2023","Black","Unknown","Unknown","20","15","[c]","[c]"
"In post","2023","Mixed","AA/AO","Heterosexual / straight","1600","1475","25050","22520"
"In post","2023","Mixed","AA/AO","LGBO","190","180","25310","23230"
"In post","2023","Mixed","AA/AO","Undeclared","155","140","24660","22520"
"In post","2023","Mixed","AA/AO","Unknown","130","115","23990","22520"
"In post","2023","Mixed","EO","Heterosexual / straight","1715","1620","29390","28120"
"In post","2023","Mixed","EO","LGBO","215","210","29090","28120"
"In post","2023","Mixed","EO","Undeclared","200","180","29210","28120"
"In post","2023","Mixed","EO","Unknown","120","110","29480","28120"
"In post","2023","Mixed","G6/G7","Heterosexual / straight","1280","1230","60100","57980"
"In post","2023","Mixed","G6/G7","LGBO","155","155","59390","57970"
"In post","2023","Mixed","G6/G7","Undeclared","100","100","60120","56530"
"In post","2023","Mixed","G6/G7","Unknown","90","90","62260","62270"
"In post","2023","Mixed","SCS level","Heterosexual / straight","125","125","86690","80500"
"In post","2023","Mixed","SCS level","LGBO","10","10","[c]","[c]"
"In post","2023","Mixed","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2023","Mixed","SCS level","Unknown","15","15","[c]","[c]"
"In post","2023","Mixed","SEO/HEO","Heterosexual / straight","2220","2170","38510","38120"
"In post","2023","Mixed","SEO/HEO","LGBO","280","275","37950","37340"
"In post","2023","Mixed","SEO/HEO","Undeclared","180","175","38760","38380"
"In post","2023","Mixed","SEO/HEO","Unknown","230","230","35360","34700"
"In post","2023","Mixed","Unknown","Heterosexual / straight","575","545","31350","29050"
"In post","2023","Mixed","Unknown","LGBO","65","60","27650","25300"
"In post","2023","Mixed","Unknown","Undeclared","40","35","32900","31540"
"In post","2023","Mixed","Unknown","Unknown","15","15","[c]","[c]"
"In post","2023","Other ethnicity","AA/AO","Heterosexual / straight","415","385","25360","23850"
"In post","2023","Other ethnicity","AA/AO","LGBO","40","40","25990","23880"
"In post","2023","Other ethnicity","AA/AO","Undeclared","35","30","24780","23210"
"In post","2023","Other ethnicity","AA/AO","Unknown","60","50","24740","24430"
"In post","2023","Other ethnicity","EO","Heterosexual / straight","505","480","29700","28920"
"In post","2023","Other ethnicity","EO","LGBO","45","40","30160","29090"
"In post","2023","Other ethnicity","EO","Undeclared","75","70","29830","29870"
"In post","2023","Other ethnicity","EO","Unknown","60","50","29740","29660"
"In post","2023","Other ethnicity","G6/G7","Heterosexual / straight","340","325","60600","57820"
"In post","2023","Other ethnicity","G6/G7","LGBO","60","60","58530","57850"
"In post","2023","Other ethnicity","G6/G7","Undeclared","100","100","59790","55860"
"In post","2023","Other ethnicity","G6/G7","Unknown","45","40","61520","61770"
"In post","2023","Other ethnicity","SCS level","Heterosexual / straight","30","30","[c]","[c]"
"In post","2023","Other ethnicity","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Other ethnicity","SCS level","Undeclared","20","15","[c]","[c]"
"In post","2023","Other ethnicity","SCS level","Unknown","5","5","[c]","[c]"
"In post","2023","Other ethnicity","SEO/HEO","Heterosexual / straight","625","610","39150","38540"
"In post","2023","Other ethnicity","SEO/HEO","LGBO","60","60","38540","37610"
"In post","2023","Other ethnicity","SEO/HEO","Undeclared","120","120","38590","38380"
"In post","2023","Other ethnicity","SEO/HEO","Unknown","60","55","39680","39500"
"In post","2023","Other ethnicity","Unknown","Heterosexual / straight","105","100","31340","29050"
"In post","2023","Other ethnicity","Unknown","LGBO","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2023","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
