"Status","Year","Ethnicity","Region_ITL1","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","East Midlands (England)","AA","Female","20","15","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","AA","Male","20","15","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","AO","Female","440","360","22360","21780"
"In post","2023","Asian","East Midlands (England)","AO","Male","310","295","23160","21780"
"In post","2023","Asian","East Midlands (England)","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","EO","Female","340","305","27850","28120"
"In post","2023","Asian","East Midlands (England)","EO","Male","275","270","27900","28120"
"In post","2023","Asian","East Midlands (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","G6","Female","15","10","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","G6","Male","10","10","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","G7","Female","45","45","55650","56450"
"In post","2023","Asian","East Midlands (England)","G7","Male","35","35","56400","56450"
"In post","2023","Asian","East Midlands (England)","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","HEO","Female","135","130","33810","34680"
"In post","2023","Asian","East Midlands (England)","HEO","Male","155","145","34810","34850"
"In post","2023","Asian","East Midlands (England)","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","SEO","Female","95","95","41710","42140"
"In post","2023","Asian","East Midlands (England)","SEO","Male","60","60","42460","42140"
"In post","2023","Asian","East Midlands (England)","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","Unknown","Female","80","70","28820","26840"
"In post","2023","Asian","East Midlands (England)","Unknown","Male","30","30","27370","24570"
"In post","2023","Asian","East Midlands (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","AA","Female","15","10","[c]","[c]"
"In post","2023","Asian","East of England","AA","Male","20","20","[c]","[c]"
"In post","2023","Asian","East of England","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","AO","Female","255","205","23970","22820"
"In post","2023","Asian","East of England","AO","Male","130","120","25670","23390"
"In post","2023","Asian","East of England","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","EO","Female","255","225","29410","28850"
"In post","2023","Asian","East of England","EO","Male","165","160","29120","28120"
"In post","2023","Asian","East of England","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","G6","Female","15","15","[c]","[c]"
"In post","2023","Asian","East of England","G6","Male","5","5","[c]","[c]"
"In post","2023","Asian","East of England","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","G7","Female","35","35","56980","54460"
"In post","2023","Asian","East of England","G7","Male","30","30","[c]","[c]"
"In post","2023","Asian","East of England","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","HEO","Female","65","60","35540","35410"
"In post","2023","Asian","East of England","HEO","Male","65","60","35730","34780"
"In post","2023","Asian","East of England","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","SCS level","Male","10","5","[c]","[c]"
"In post","2023","Asian","East of England","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","SEO","Female","50","50","42470","41490"
