"Status","Year","Parent_department","Region_ITL1","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","AO","80","75","22360","22870"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","EO","70","65","27420","26900"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","G6","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","G7","115","105","53860","52880"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","HEO","35","35","32440","31490"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","SEO","15","15","40180","38940"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AO","50","45","22160","22870"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","30","25","28120","28850"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G7","80","70","53510","52670"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","HEO","10","10","33100","33170"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Lincolnshire","AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Midlands (England)","Lincolnshire","G7","15","15","56150","56450"
"In post","2023","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","AO","40","40","23990","24480"
"In post","2023","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","EO","40","35","29300","28870"
"In post","2023","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","G7","85","80","60810","62890"
"In post","2023","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","HEO","10","10","34250","32660"
"In post","2023","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","SEO","10","10","41940","41340"
"In post","2023","Attorney General's Departments","East of England","East Anglia","AO","40","35","22520","22870"
"In post","2023","Attorney General's Departments","East of England","East Anglia","EO","35","30","27700","27020"
"In post","2023","Attorney General's Departments","East of England","East Anglia","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","East Anglia","G7","50","45","55670","56450"
"In post","2023","Attorney General's Departments","East of England","East Anglia","HEO","15","10","32950","33100"
"In post","2023","Attorney General's Departments","East of England","East Anglia","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","East Anglia","SEO","10","10","38810","38760"
"In post","2023","Attorney General's Departments","East of England","Essex","AO","45","40","24030","24480"
"In post","2023","Attorney General's Departments","East of England","Essex","EO","45","40","29630","30210"
"In post","2023","Attorney General's Departments","East of England","Essex","G6","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Essex","G7","75","70","59310","57650"
"In post","2023","Attorney General's Departments","East of England","Essex","HEO","15","15","35120","35070"
"In post","2023","Attorney General's Departments","East of England","Essex","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East of England","Essex","SEO","20","20","40940","40800"
"In post","2023","Attorney General's Departments","London","Inner London - East","AO","15","15","24100","25600"
"In post","2023","Attorney General's Departments","London","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Inner London - East","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Inner London - East","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Inner London - East","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Inner London - West","AA","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Inner London - West","AO","365","340","24230","24480"
"In post","2023","Attorney General's Departments","London","Inner London - West","EO","790","755","29250","28410"
"In post","2023","Attorney General's Departments","London","Inner London - West","G6","950","870","70260","68280"
"In post","2023","Attorney General's Departments","London","Inner London - West","G7","1615","1520","57060","54230"
"In post","2023","Attorney General's Departments","London","Inner London - West","HEO","415","405","36130","34450"
"In post","2023","Attorney General's Departments","London","Inner London - West","SCS level","265","255","88850","82550"
"In post","2023","Attorney General's Departments","London","Inner London - West","SEO","305","300","41500","40800"
"In post","2023","Attorney General's Departments","London","Outer London - East and North East","AO","10","10","24050","25600"
"In post","2023","Attorney General's Departments","London","Outer London - East and North East","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Outer London - East and North East","G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Outer London - East and North East","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Outer London - South","AO","10","10","24690","25600"
"In post","2023","Attorney General's Departments","London","Outer London - South","EO","10","10","28380","28170"
"In post","2023","Attorney General's Departments","London","Outer London - South","G6","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Outer London - South","G7","10","5","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Outer London - South","HEO","10","10","33300","32620"
"In post","2023","Attorney General's Departments","London","Outer London - South","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Outer London - South","SEO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Outer London - West and North West","AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Outer London - West and North West","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Outer London - West and North West","G7","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","London","Outer London - West and North West","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","Northumberland, and Tyne and Wear","AA","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","Northumberland, and Tyne and Wear","AO","70","65","22260","22870"
"In post","2023","Attorney General's Departments","North East (England)","Northumberland, and Tyne and Wear","EO","55","50","27900","27030"
"In post","2023","Attorney General's Departments","North East (England)","Northumberland, and Tyne and Wear","G6","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","Northumberland, and Tyne and Wear","G7","100","90","54810","55070"
"In post","2023","Attorney General's Departments","North East (England)","Northumberland, and Tyne and Wear","HEO","20","20","32350","31490"
"In post","2023","Attorney General's Departments","North East (England)","Northumberland, and Tyne and Wear","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","Northumberland, and Tyne and Wear","SEO","20","20","39540","38940"
"In post","2023","Attorney General's Departments","North East (England)","Tees Valley and Durham","AO","25","20","22580","22870"
"In post","2023","Attorney General's Departments","North East (England)","Tees Valley and Durham","EO","25","20","27870","27400"
"In post","2023","Attorney General's Departments","North East (England)","Tees Valley and Durham","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","Tees Valley and Durham","G7","45","40","55240","56450"
"In post","2023","Attorney General's Departments","North East (England)","Tees Valley and Durham","HEO","10","10","32780","32650"
"In post","2023","Attorney General's Departments","North East (England)","Tees Valley and Durham","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North East (England)","Tees Valley and Durham","SEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","Cheshire","EO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","Cheshire","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","Cheshire","G7","15","15","59500","58030"
"In post","2023","Attorney General's Departments","North West (England)","Cheshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","Cumbria","AA","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","Cumbria","AO","10","5","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","Cumbria","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","Cumbria","G7","15","15","55160","54520"
"In post","2023","Attorney General's Departments","North West (England)","Cumbria","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","Greater Manchester","AO","80","75","22770","22870"
"In post","2023","Attorney General's Departments","North West (England)","Greater Manchester","EO","90","85","28190","28850"
"In post","2023","Attorney General's Departments","North West (England)","Greater Manchester","G6","20","20","70800","70700"
"In post","2023","Attorney General's Departments","North West (England)","Greater Manchester","G7","150","135","54940","54390"
"In post","2023","Attorney General's Departments","North West (England)","Greater Manchester","HEO","25","25","33100","33050"
"In post","2023","Attorney General's Departments","North West (England)","Greater Manchester","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","Greater Manchester","SEO","25","25","39230","38940"
"In post","2023","Attorney General's Departments","North West (England)","Lancashire","AO","40","35","22760","22870"
"In post","2023","Attorney General's Departments","North West (England)","Lancashire","EO","40","35","28280","28850"
"In post","2023","Attorney General's Departments","North West (England)","Lancashire","G6","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","Lancashire","G7","90","85","53880","54410"
"In post","2023","Attorney General's Departments","North West (England)","Lancashire","HEO","15","15","33320","33300"
"In post","2023","Attorney General's Departments","North West (England)","Lancashire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","Lancashire","SEO","10","10","39300","38760"
"In post","2023","Attorney General's Departments","North West (England)","Merseyside","AO","105","100","22560","22870"
"In post","2023","Attorney General's Departments","North West (England)","Merseyside","EO","95","90","27670","27150"
"In post","2023","Attorney General's Departments","North West (England)","Merseyside","G6","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","Merseyside","G7","145","140","54470","54500"
"In post","2023","Attorney General's Departments","North West (England)","Merseyside","HEO","35","35","32210","32000"
"In post","2023","Attorney General's Departments","North West (England)","Merseyside","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","North West (England)","Merseyside","SEO","35","35","39070","38940"
"In post","2023","Attorney General's Departments","Overseas","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","AO","30","25","23880","24480"
"In post","2023","Attorney General's Departments","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","EO","30","25","28990","28200"
"In post","2023","Attorney General's Departments","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","G6","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","G7","45","40","59570","58210"
"In post","2023","Attorney General's Departments","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","HEO","15","15","33710","32820"
"In post","2023","Attorney General's Departments","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SEO","10","10","40780","40800"
"In post","2023","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","AA","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","AO","70","65","23900","24480"
"In post","2023","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","EO","55","50","29000","28200"
"In post","2023","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","G6","10","10","77090","75660"
"In post","2023","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","G7","125","115","59610","57650"
"In post","2023","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","HEO","25","25","34890","34320"
"In post","2023","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","SEO","15","15","41620","40800"
"In post","2023","Attorney General's Departments","South East (England)","Kent","AO","35","35","24140","24480"
"In post","2023","Attorney General's Departments","South East (England)","Kent","EO","30","30","29300","28670"
"In post","2023","Attorney General's Departments","South East (England)","Kent","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","Kent","G7","50","45","59810","59040"
"In post","2023","Attorney General's Departments","South East (England)","Kent","HEO","10","10","35420","36170"
"In post","2023","Attorney General's Departments","South East (England)","Kent","SEO","10","10","41830","40800"
"In post","2023","Attorney General's Departments","South East (England)","Surrey, East and West Sussex","AO","40","40","23840","24480"
"In post","2023","Attorney General's Departments","South East (England)","Surrey, East and West Sussex","EO","55","55","29060","28200"
"In post","2023","Attorney General's Departments","South East (England)","Surrey, East and West Sussex","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","Surrey, East and West Sussex","G7","85","75","59960","61100"
"In post","2023","Attorney General's Departments","South East (England)","Surrey, East and West Sussex","HEO","10","10","34170","33190"
"In post","2023","Attorney General's Departments","South East (England)","Surrey, East and West Sussex","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","South East (England)","Surrey, East and West Sussex","SEO","10","10","40780","40800"
"In post","2023","Attorney General's Departments","South West (England)","Cornwall and Isles of Scilly","AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","Cornwall and Isles of Scilly","EO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","South West (England)","Cornwall and Isles of Scilly","G7","10","10","53870","56450"
"In post","2023","Attorney General's Departments","South West (England)","Cornwall and Isles of Scilly","HEO","[c]","[c]","[c]","[c]"
