"Status","Year","Age","Function_of_post","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Communications","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Department of Health and Social Care","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","HM Revenue and Customs","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Home Office","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Department for Work and Pensions","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs","AO","5","5","[c]","[c]"
"In post","2023","16-19","Counter Fraud","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Debt","Department for Work and Pensions","AO","10","10","[c]","[c]"
"In post","2023","16-19","Debt","HM Revenue and Customs","AO","45","45","22710","22520"
"In post","2023","16-19","Digital, Data & Technology","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Transport","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Work and Pensions","AO","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","HM Land Registry","AA","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data & Technology","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Attorney General's Departments","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Foreign, Commonwealth and Development Office","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","HM Revenue and Customs","AO","10","5","22960","22520"
"In post","2023","16-19","Finance","Ministry of Defence","AO","15","15","19690","19460"
"In post","2023","16-19","Finance","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Grants Management","Department for Environment, Food and Rural Affairs","AO","10","10","[c]","[c]"
"In post","2023","16-19","Human Resources","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Work and Pensions","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","HM Treasury","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Ministry of Defence","AO","5","5","[c]","[c]"
"In post","2023","16-19","Human Resources","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","National Crime Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Office for Standards in Education, Children's Services and Skills","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","UK Statistics Authority","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","Attorney General's Departments","AO","55","55","21070","20980"
"In post","2023","16-19","Legal","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","HM Revenue and Customs","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Environment, Food and Rural Affairs","AO","15","10","22920","22150"
"In post","2023","16-19","No function","Department for Environment, Food and Rural Affairs","EO","5","5","[c]","[c]"
"In post","2023","16-19","No function","Department for International Trade","EO","5","5","[c]","[c]"
"In post","2023","16-19","No function","Department for Levelling Up, Housing and Communities","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Transport","AA","40","35","19000","19000"
"In post","2023","16-19","No function","Department for Transport","AO","40","40","22550","22500"
"In post","2023","16-19","No function","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Transport","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department for Work and Pensions","AO","35","35","21830","21690"
"In post","2023","16-19","No function","Department for Work and Pensions","EO","10","10","[c]","[c]"
"In post","2023","16-19","No function","Department of Health and Social Care","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department of Health and Social Care","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Land Registry","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Revenue and Customs","AO","95","95","22750","22520"
"In post","2023","16-19","No function","HM Revenue and Customs","EO","5","5","[c]","[c]"
"In post","2023","16-19","No function","HM Revenue and Customs","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Treasury","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Home Office","AO","105","95","23050","22400"
"In post","2023","16-19","No function","Home Office","EO","25","25","26640","25750"
"In post","2023","16-19","No function","Ministry of Defence","AA","20","20","18300","19210"
"In post","2023","16-19","No function","Ministry of Defence","AO","95","95","19490","18780"
"In post","2023","16-19","No function","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Justice","AA","115","115","23240","23230"
"In post","2023","16-19","No function","Ministry of Justice","AO","195","190","27860","28880"
"In post","2023","16-19","No function","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Ministry of Justice","Unknown","35","30","20180","19090"
"In post","2023","16-19","No function","National Crime Agency","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office for Standards in Education, Children's Services and Skills","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of Qualifications and Examinations Regulation","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","Scottish Government","AO","15","15","24200","24710"
"In post","2023","16-19","No function","The National Archives","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","No function","UK Statistics Authority","AA","5","5","[c]","[c]"
"In post","2023","16-19","No function","UK Statistics Authority","AO","5","5","[c]","[c]"
"In post","2023","16-19","No function","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Business, Energy and Industrial Strategy","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","HM Land Registry","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Ministry of Defence","AO","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","Ministry of Defence","HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Ministry of Defence","Unknown","20","20","18750","18280"
"In post","2023","16-19","Project Delivery","UK Statistics Authority","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Department for Business, Energy and Industrial Strategy","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Foreign, Commonwealth and Development Office","Unknown","15","15","23420","22750"
"In post","2023","16-19","Property","HM Revenue and Customs","AO","15","15","22820","22520"
"In post","2023","16-19","Property","HM Revenue and Customs","EO","5","5","[c]","[c]"
"In post","2023","16-19","Property","Ministry of Defence","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","Scottish Government","AA","5","5","[c]","[c]"
"In post","2023","16-19","Security","Cabinet Office","EO","10","10","25160","24470"
"In post","2023","16-19","Security","Foreign, Commonwealth and Development Office","AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Ministry of Defence","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Business, Energy and Industrial Strategy","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Work and Pensions","AO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Department for Work and Pensions","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Ministry of Defence","AA","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Ministry of Defence","AO","10","10","[c]","[c]"
"In post","2023","16-19","Unknown","Ministry of Defence","Unknown","30","30","19370","17400"
"In post","2023","16-19","Unknown","Office of the Secretary of State for Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","Scottish Government","AA","40","40","22610","22180"
"In post","2023","16-19","Unknown","Scottish Government","AO","5","5","[c]","[c]"
"In post","2023","16-19","Unknown","Welsh Government","AO","10","10","22670","22150"
"In post","2023","20-29","Analysis","Attorney General's Departments","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Attorney General's Departments","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Attorney General's Departments","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Cabinet Office","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Cabinet Office","HEO","105","105","31170","30130"
"In post","2023","20-29","Analysis","Cabinet Office","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Chancellor's other departments","EO","15","15","29750","30090"
"In post","2023","20-29","Analysis","Chancellor's other departments","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Chancellor's other departments","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Chancellor's other departments","HEO","20","20","35690","36490"
"In post","2023","20-29","Analysis","Chancellor's other departments","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Charity Commission","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Competition and Markets Authority","G7","15","15","55550","55130"
"In post","2023","20-29","Analysis","Competition and Markets Authority","HEO","20","20","34590","34110"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy","EO","35","35","27790","28720"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy","G7","10","10","59100","59330"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy","HEO","95","95","35910","34670"
"In post","2023","20-29","Analysis","Department for Business, Energy and Industrial Strategy","SEO","10","10","45030","45040"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport","G7","25","25","56140","56760"
"In post","2023","20-29","Analysis","Department for Digital, Culture, Media and Sport","HEO","45","45","39620","39040"
"In post","2023","20-29","Analysis","Department for Education","EO","20","20","28490","26940"
"In post","2023","20-29","Analysis","Department for Education","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Education","G7","30","30","54190","55020"
"In post","2023","20-29","Analysis","Department for Education","HEO","55","55","34960","33950"
"In post","2023","20-29","Analysis","Department for Education","SEO","80","80","44260","43250"
"In post","2023","20-29","Analysis","Department for Environment, Food and Rural Affairs","AO","15","15","21470","22150"
"In post","2023","20-29","Analysis","Department for Environment, Food and Rural Affairs","EO","35","35","25950","25920"
"In post","2023","20-29","Analysis","Department for Environment, Food and Rural Affairs","HEO","30","30","30430","30350"
"In post","2023","20-29","Analysis","Department for Environment, Food and Rural Affairs","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for International Trade","EO","20","20","29320","29280"
"In post","2023","20-29","Analysis","Department for International Trade","G7","45","45","56230","55370"
"In post","2023","20-29","Analysis","Department for International Trade","HEO","55","55","34870","35010"
"In post","2023","20-29","Analysis","Department for International Trade","SEO","15","15","42400","41650"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities","EO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities","G7","40","40","55050","54630"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities","HEO","45","45","33070","33880"
"In post","2023","20-29","Analysis","Department for Levelling Up, Housing and Communities","SEO","15","15","41810","42230"
"In post","2023","20-29","Analysis","Department for Transport","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Transport","EO","20","20","30140","30720"
"In post","2023","20-29","Analysis","Department for Transport","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Transport","G7","55","55","55450","55740"
"In post","2023","20-29","Analysis","Department for Transport","HEO","60","60","33630","35400"
"In post","2023","20-29","Analysis","Department for Transport","SEO","25","25","42710","43750"
"In post","2023","20-29","Analysis","Department for Work and Pensions","AO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Department for Work and Pensions","EO","30","30","28700","28210"
"In post","2023","20-29","Analysis","Department for Work and Pensions","G7","20","20","56100","58370"
"In post","2023","20-29","Analysis","Department for Work and Pensions","HEO","115","115","36130","35700"
"In post","2023","20-29","Analysis","Department for Work and Pensions","SEO","50","50","41140","38470"
"In post","2023","20-29","Analysis","Department of Health and Social Care","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department of Health and Social Care","EO","20","20","27730","27840"
"In post","2023","20-29","Analysis","Department of Health and Social Care","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Department of Health and Social Care","G7","15","15","53480","54660"
"In post","2023","20-29","Analysis","Department of Health and Social Care","HEO","25","25","33120","34190"
"In post","2023","20-29","Analysis","Department of Health and Social Care","SEO","10","10","40440","41480"
"In post","2023","20-29","Analysis","Estyn","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Food Standards Agency","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Food Standards Agency","HEO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Food Standards Agency","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Foreign, Commonwealth and Development Office","AO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Foreign, Commonwealth and Development Office","G7","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Foreign, Commonwealth and Development Office","HEO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","HM Land Registry","HEO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","HM Revenue and Customs","AO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","HM Revenue and Customs","EO","15","15","28460","27890"
"In post","2023","20-29","Analysis","HM Revenue and Customs","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","HM Revenue and Customs","G7","40","40","60230","59610"
"In post","2023","20-29","Analysis","HM Revenue and Customs","HEO","160","160","37140","39110"
"In post","2023","20-29","Analysis","HM Revenue and Customs","SEO","105","105","43550","42510"
"In post","2023","20-29","Analysis","HM Treasury","AO","10","10","23210","23210"
"In post","2023","20-29","Analysis","HM Treasury","EO","20","20","24860","24790"
"In post","2023","20-29","Analysis","HM Treasury","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","HM Treasury","G7","25","25","54910","54090"
"In post","2023","20-29","Analysis","HM Treasury","HEO","60","60","35200","34680"
"In post","2023","20-29","Analysis","HM Treasury","SEO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Home Office","AA","25","25","23180","23500"
"In post","2023","20-29","Analysis","Home Office","EO","25","25","30090","29890"
"In post","2023","20-29","Analysis","Home Office","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Home Office","G7","40","40","60990","61260"
"In post","2023","20-29","Analysis","Home Office","HEO","95","95","35710","36420"
"In post","2023","20-29","Analysis","Home Office","SEO","80","80","43760","44020"
"In post","2023","20-29","Analysis","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Ministry of Defence","AA","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Ministry of Defence","AO","20","20","24060","24010"
"In post","2023","20-29","Analysis","Ministry of Defence","EO","45","45","27980","27110"
"In post","2023","20-29","Analysis","Ministry of Defence","G7","25","25","52990","49260"
"In post","2023","20-29","Analysis","Ministry of Defence","HEO","205","205","31530","30650"
"In post","2023","20-29","Analysis","Ministry of Defence","SEO","135","135","40820","39890"
"In post","2023","20-29","Analysis","Ministry of Justice","EO","25","25","29220","29660"
"In post","2023","20-29","Analysis","Ministry of Justice","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Ministry of Justice","G7","35","35","57030","55720"
"In post","2023","20-29","Analysis","Ministry of Justice","HEO","115","115","34370","35410"
"In post","2023","20-29","Analysis","Ministry of Justice","SEO","85","85","42420","43650"
"In post","2023","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","EO","15","15","27740","26870"
"In post","2023","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","HEO","25","20","34120","33130"
"In post","2023","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","SEO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Office of Gas and Electricity Markets","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Office of Gas and Electricity Markets","EO","10","10","26160","25940"
"In post","2023","20-29","Analysis","Office of Gas and Electricity Markets","G7","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Office of Gas and Electricity Markets","HEO","20","20","33680","33400"
"In post","2023","20-29","Analysis","Office of Gas and Electricity Markets","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Office of Rail and Road","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Office of Rail and Road","HEO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Office of Rail and Road","SEO","5","5","[c]","[c]"
"In post","2023","20-29","Analysis","Scottish Government","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","UK Export Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","UK Export Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","UK Statistics Authority","AO","40","35","21280","21200"
"In post","2023","20-29","Analysis","UK Statistics Authority","EO","35","35","25180","24840"
"In post","2023","20-29","Analysis","UK Statistics Authority","G6","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","UK Statistics Authority","G7","25","25","51890","51460"
"In post","2023","20-29","Analysis","UK Statistics Authority","HEO","375","375","31910","31560"
"In post","2023","20-29","Analysis","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","UK Statistics Authority","SEO","205","200","39270","39300"
"In post","2023","20-29","Analysis","Water Services Regulation Authority","EO","10","10","[c]","[c]"
"In post","2023","20-29","Analysis","Water Services Regulation Authority","HEO","10","10","39920","36660"
"In post","2023","20-29","Analysis","Water Services Regulation Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Analysis","Welsh Government","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Attorney General's Departments","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Attorney General's Departments","EO","5","5","[c]","[c]"
"In post","2023","20-29","Commercial","Attorney General's Departments","HEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Attorney General's Departments","SEO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Cabinet Office","EO","20","20","26440","26410"
"In post","2023","20-29","Commercial","Cabinet Office","G6","10","10","72630","72500"
"In post","2023","20-29","Commercial","Cabinet Office","G7","80","80","61090","56430"
"In post","2023","20-29","Commercial","Cabinet Office","HEO","130","130","31260","31000"
"In post","2023","20-29","Commercial","Cabinet Office","SEO","20","20","39440","40510"
"In post","2023","20-29","Commercial","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Business, Energy and Industrial Strategy","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Business, Energy and Industrial Strategy","HEO","10","10","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Business, Energy and Industrial Strategy","SEO","10","10","39760","40740"
"In post","2023","20-29","Commercial","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Digital, Culture, Media and Sport","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Digital, Culture, Media and Sport","HEO","10","10","34950","35040"
"In post","2023","20-29","Commercial","Department for Education","EO","10","10","26080","25900"
"In post","2023","20-29","Commercial","Department for Education","G7","[c]","[c]","[c]","[c]"
"In post","2023","20-29","Commercial","Department for Education","HEO","20","20","30720","30330"
"In post","2023","20-29","Commercial","Department for Education","SEO","20","20","39050","39090"
