"Status","Year","Ethnicity","Region_ITL1","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","East Midlands (England)","Female","Heterosexual / straight","950","845","29590","27890"
"In post","2023","Asian","East Midlands (England)","Female","LGBO","20","20","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","Female","Undeclared","70","55","29230","25300"
"In post","2023","Asian","East Midlands (England)","Female","Unknown","135","110","28380","28080"
"In post","2023","Asian","East Midlands (England)","Male","Heterosexual / straight","770","745","30140","28120"
"In post","2023","Asian","East Midlands (England)","Male","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","Male","Undeclared","35","35","28250","27650"
"In post","2023","Asian","East Midlands (England)","Male","Unknown","80","75","31480","28120"
"In post","2023","Asian","East Midlands (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East Midlands (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","Female","Heterosexual / straight","620","550","31140","28120"
"In post","2023","Asian","East of England","Female","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","East of England","Female","Undeclared","50","40","29660","25790"
"In post","2023","Asian","East of England","Female","Unknown","60","50","34770","28120"
"In post","2023","Asian","East of England","Male","Heterosexual / straight","425","410","34260","30880"
"In post","2023","Asian","East of England","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Asian","East of England","Male","Undeclared","35","30","31230","26180"
"In post","2023","Asian","East of England","Male","Unknown","25","25","[c]","[c]"
"In post","2023","Asian","East of England","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","East of England","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","London","Female","Heterosexual / straight","7425","6930","39920","35410"
"In post","2023","Asian","London","Female","LGBO","165","155","39820","35410"
"In post","2023","Asian","London","Female","Undeclared","580","520","36350","32520"
"In post","2023","Asian","London","Female","Unknown","800","710","37870","32520"
"In post","2023","Asian","London","Male","Heterosexual / straight","5145","5045","40730","36000"
"In post","2023","Asian","London","Male","LGBO","185","185","44390","41060"
"In post","2023","Asian","London","Male","Undeclared","300","285","40010","36020"
"In post","2023","Asian","London","Male","Unknown","455","445","41240","35040"
"In post","2023","Asian","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North East (England)","Female","Heterosexual / straight","290","265","29950","28120"
"In post","2023","Asian","North East (England)","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","North East (England)","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","Asian","North East (England)","Female","Unknown","35","30","29940","22870"
"In post","2023","Asian","North East (England)","Male","Heterosexual / straight","290","280","32530","28120"
"In post","2023","Asian","North East (England)","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","North East (England)","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Asian","North East (England)","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","North East (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North East (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North East (England)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North East (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North West (England)","Female","Heterosexual / straight","1285","1155","30120","28120"
"In post","2023","Asian","North West (England)","Female","LGBO","30","25","[c]","[c]"
"In post","2023","Asian","North West (England)","Female","Undeclared","85","70","28550","25320"
"In post","2023","Asian","North West (England)","Female","Unknown","150","125","26810","22520"
"In post","2023","Asian","North West (England)","Male","Heterosexual / straight","1625","1580","31220","28120"
"In post","2023","Asian","North West (England)","Male","LGBO","50","45","29660","28120"
"In post","2023","Asian","North West (England)","Male","Undeclared","75","70","28980","27890"
"In post","2023","Asian","North West (England)","Male","Unknown","170","160","30330","28120"
"In post","2023","Asian","North West (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North West (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North West (England)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","North West (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Northern Ireland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","Female","Heterosexual / straight","65","65","48510","41270"
"In post","2023","Asian","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Asian","Overseas","Male","Heterosexual / straight","70","70","51570","53970"
"In post","2023","Asian","Overseas","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Asian","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scotland","Female","Heterosexual / straight","375","345","32820","29100"
"In post","2023","Asian","Scotland","Female","LGBO","10","5","[c]","[c]"
"In post","2023","Asian","Scotland","Female","Undeclared","20","20","[c]","[c]"
"In post","2023","Asian","Scotland","Female","Unknown","40","35","30860","27810"
"In post","2023","Asian","Scotland","Male","Heterosexual / straight","310","305","35930","31060"
"In post","2023","Asian","Scotland","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Asian","Scotland","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Asian","Scotland","Male","Unknown","25","25","[c]","[c]"
"In post","2023","Asian","Scotland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scotland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scotland","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","South East (England)","Female","Heterosexual / straight","740","670","31550","29140"
"In post","2023","Asian","South East (England)","Female","LGBO","15","15","[c]","[c]"
"In post","2023","Asian","South East (England)","Female","Undeclared","55","50","31700","28990"
"In post","2023","Asian","South East (England)","Female","Unknown","80","70","31270","28120"
"In post","2023","Asian","South East (England)","Male","Heterosexual / straight","600","575","33730","30880"
"In post","2023","Asian","South East (England)","Male","LGBO","20","15","[c]","[c]"
