"Status","Year","Age","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","AA/AO","15","15","22010","21860"
"In post","2023","16-19","Digital, Data and Technology","EO","15","15","28060","28120"
"In post","2023","16-19","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","EO","30","30","26510","25490"
"In post","2023","16-19","Finance","AA/AO","30","30","21320","20040"
"In post","2023","16-19","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","AA/AO","20","20","22200","22190"
"In post","2023","16-19","Human Resources","EO","5","5","[c]","[c]"
"In post","2023","16-19","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","AA/AO","815","780","23600","22520"
"In post","2023","16-19","Operational Delivery","EO","50","50","27180","25910"
"In post","2023","16-19","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Unknown","35","30","20180","19090"
"In post","2023","16-19","Operational Research","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","AA/AO","40","40","20810","20770"
"In post","2023","16-19","Other","Unknown","30","30","19860","17650"
"In post","2023","16-19","Policy","AA/AO","10","10","23010","21690"
"In post","2023","16-19","Policy","EO","15","15","26230","25830"
"In post","2023","16-19","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","EO","5","5","[c]","[c]"
"In post","2023","16-19","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Property","AA/AO","15","15","21760","22520"
"In post","2023","16-19","Property","EO","5","5","[c]","[c]"
"In post","2023","16-19","Property","Unknown","15","15","23420","22750"
"In post","2023","16-19","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Science and Engineering","AA/AO","95","95","19610","18780"
"In post","2023","16-19","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Science and Engineering","Unknown","15","15","18580","18280"
"In post","2023","16-19","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Statistics","EO","5","5","[c]","[c]"
"In post","2023","16-19","Tax","AA/AO","5","5","[c]","[c]"
"In post","2023","16-19","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Unknown","AA/AO","75","75","22970","22520"
"In post","2023","16-19","Unknown","EO","15","15","26210","24610"
