"Status","Year","Age","Region_ITL2","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Bedfordshire and Hertfordshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bedfordshire and Hertfordshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bedfordshire and Hertfordshire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bedfordshire and Hertfordshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bedfordshire and Hertfordshire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Bedfordshire and Hertfordshire","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","AA","Female","5","5","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","AO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","AO","Male","10","10","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Female","10","10","[c]","[c]"
"In post","2023","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Male","20","20","[c]","[c]"
"In post","2023","16-19","Cheshire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cheshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cheshire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cheshire","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cornwall and Isles of Scilly","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cumbria","AO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Cumbria","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cumbria","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Cumbria","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","AA","Male","5","5","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","AO","Female","15","15","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","AO","Male","20","20","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Derbyshire and Nottinghamshire","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Devon","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Devon","AA","Male","10","10","[c]","[c]"
"In post","2023","16-19","Devon","AO","Female","5","5","[c]","[c]"
"In post","2023","16-19","Devon","AO","Male","10","10","[c]","[c]"
"In post","2023","16-19","Devon","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Devon","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Devon","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Devon","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Devon","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Devon","Unknown","Male","5","5","[c]","[c]"
"In post","2023","16-19","Dorset and Somerset","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dorset and Somerset","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dorset and Somerset","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Dorset and Somerset","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Anglia","AA","Female","5","5","[c]","[c]"
"In post","2023","16-19","East Anglia","AA","Male","5","5","[c]","[c]"
"In post","2023","16-19","East Anglia","AO","Female","15","15","[c]","[c]"
"In post","2023","16-19","East Anglia","AO","Male","20","15","[c]","[c]"
"In post","2023","16-19","East Anglia","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Anglia","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Wales","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Wales","AA","Male","10","10","[c]","[c]"
"In post","2023","16-19","East Wales","AO","Female","20","20","[c]","[c]"
"In post","2023","16-19","East Wales","AO","Male","20","20","[c]","[c]"
"In post","2023","16-19","East Wales","EO","Female","5","5","[c]","[c]"
"In post","2023","16-19","East Wales","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Yorkshire and Northern Lincolnshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Yorkshire and Northern Lincolnshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Yorkshire and Northern Lincolnshire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Yorkshire and Northern Lincolnshire","AO","Male","10","10","[c]","[c]"
"In post","2023","16-19","Eastern Scotland","AA","Female","5","5","[c]","[c]"
"In post","2023","16-19","Eastern Scotland","AA","Male","10","10","[c]","[c]"
"In post","2023","16-19","Eastern Scotland","AO","Female","10","10","[c]","[c]"
"In post","2023","16-19","Eastern Scotland","AO","Male","10","10","[c]","[c]"
"In post","2023","16-19","Essex","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Essex","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Essex","AO","Female","10","10","[c]","[c]"
"In post","2023","16-19","Essex","AO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Essex","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Essex","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","AA","Female","5","5","[c]","[c]"
"In post","2023","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","AA","Male","10","10","[c]","[c]"
"In post","2023","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","AO","Female","40","40","21250","20040"
"In post","2023","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","AO","Male","90","90","20040","19460"
"In post","2023","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","EO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","Male","10","10","[c]","[c]"
"In post","2023","16-19","Greater Manchester","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester","AO","Female","20","20","[c]","[c]"
"In post","2023","16-19","Greater Manchester","AO","Male","10","10","[c]","[c]"
"In post","2023","16-19","Greater Manchester","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Greater Manchester","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hampshire and Isle of Wight","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hampshire and Isle of Wight","AA","Male","5","5","[c]","[c]"
"In post","2023","16-19","Hampshire and Isle of Wight","AO","Female","15","15","[c]","[c]"
"In post","2023","16-19","Hampshire and Isle of Wight","AO","Male","20","20","[c]","[c]"
"In post","2023","16-19","Hampshire and Isle of Wight","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hampshire and Isle of Wight","EO","Male","5","5","[c]","[c]"
"In post","2023","16-19","Hampshire and Isle of Wight","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Hampshire and Isle of Wight","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Herefordshire, Worcestershire and Warwickshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Herefordshire, Worcestershire and Warwickshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Herefordshire, Worcestershire and Warwickshire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Herefordshire, Worcestershire and Warwickshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Herefordshire, Worcestershire and Warwickshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Herefordshire, Worcestershire and Warwickshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Highlands and Islands","AA","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Highlands and Islands","AA","Male","[c]","[c]","[c]","[c]"
