"Status","Year","Region_ITL3","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","Female","Heterosexual / straight","140","120","24590","23700"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","Female","LGBO","10","10","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","Female","Undeclared","20","15","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","Female","Unknown","110","95","25570","25060"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","Male","Heterosexual / straight","120","115","31360","28140"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","Male","LGBO","5","5","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","Male","Undeclared","15","15","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","Male","Unknown","105","100","30020","28490"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","EO","Female","Heterosexual / straight","205","185","29780","28700"
"In post","2023","Aberdeen City and Aberdeenshire","EO","Female","LGBO","15","15","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","EO","Female","Undeclared","20","15","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","EO","Female","Unknown","95","90","31820","31290"
"In post","2023","Aberdeen City and Aberdeenshire","EO","Male","Heterosexual / straight","165","160","31860","31110"
"In post","2023","Aberdeen City and Aberdeenshire","EO","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","EO","Male","Undeclared","25","25","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","EO","Male","Unknown","95","90","33460","31970"
"In post","2023","Aberdeen City and Aberdeenshire","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","Female","Heterosexual / straight","60","55","62640","61490"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","Female","Undeclared","5","5","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","Female","Unknown","10","10","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","Male","Heterosexual / straight","60","60","69980","65280"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","Male","Unknown","15","15","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SCS level","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SCS level","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SCS level","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SCS level","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","Female","Heterosexual / straight","185","170","42990","38330"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","Female","LGBO","15","15","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","Female","Unknown","55","55","39530","38330"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","Male","Heterosexual / straight","220","210","53140","42860"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","Male","LGBO","10","10","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","Male","Undeclared","20","20","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","Male","Unknown","75","70","46520","42590"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Aberdeen City and Aberdeenshire","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","AA/AO","Female","Heterosexual / straight","340","300","22850","22180"
"In post","2023","Angus and Dundee City","AA/AO","Female","LGBO","40","40","23020","22200"
"In post","2023","Angus and Dundee City","AA/AO","Female","Undeclared","25","25","[c]","[c]"
"In post","2023","Angus and Dundee City","AA/AO","Female","Unknown","270","245","22770","22180"
"In post","2023","Angus and Dundee City","AA/AO","Male","Heterosexual / straight","240","235","22840","22180"
"In post","2023","Angus and Dundee City","AA/AO","Male","LGBO","25","25","[c]","[c]"
"In post","2023","Angus and Dundee City","AA/AO","Male","Undeclared","30","30","22120","21690"
"In post","2023","Angus and Dundee City","AA/AO","Male","Unknown","170","165","22900","22180"
"In post","2023","Angus and Dundee City","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","EO","Female","Heterosexual / straight","350","325","28990","29100"
"In post","2023","Angus and Dundee City","EO","Female","LGBO","20","20","[c]","[c]"
"In post","2023","Angus and Dundee City","EO","Female","Undeclared","15","15","[c]","[c]"
"In post","2023","Angus and Dundee City","EO","Female","Unknown","160","145","29470","29100"
"In post","2023","Angus and Dundee City","EO","Male","Heterosexual / straight","185","180","29190","29100"
"In post","2023","Angus and Dundee City","EO","Male","LGBO","30","30","[c]","[c]"
"In post","2023","Angus and Dundee City","EO","Male","Undeclared","10","10","[c]","[c]"
"In post","2023","Angus and Dundee City","EO","Male","Unknown","105","105","29460","29100"
"In post","2023","Angus and Dundee City","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Angus and Dundee City","G6/G7","Female","Heterosexual / straight","55","50","62320","59360"
