"Status","Year","Ethnicity","Organisation","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Accountant in Bankruptcy","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Accountant in Bankruptcy","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Active Travel England","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","London","EO","5","5","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Outside London","EO","10","5","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","20","20","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","London","EO","5","5","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Outside London","AA/AO","35","30","23310","22150"
"In post","2023","Asian","Animal and Plant Health Agency","Outside London","EO","30","30","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Outside London","SEO/HEO","30","30","[c]","[c]"
"In post","2023","Asian","Animal and Plant Health Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Office","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","London","EO","5","5","[c]","[c]"
"In post","2023","Asian","Building Digital UK","London","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Building Digital UK","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Building Digital UK","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","London","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","London","EO","45","45","28970","28370"
"In post","2023","Asian","Cabinet Office (excl. agencies)","London","G6/G7","145","145","60360","58100"
"In post","2023","Asian","Cabinet Office (excl. agencies)","London","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","London","SEO/HEO","125","125","39110","40600"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Outside London","EO","15","15","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Outside London","G6/G7","15","15","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Outside London","SEO/HEO","35","35","35590","34320"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Central Civil Service Fast Stream","London","SEO/HEO","140","140","30690","30130"
"In post","2023","Asian","Central Civil Service Fast Stream","Outside London","SEO/HEO","45","45","31120","30130"
"In post","2023","Asian","Central Civil Service Fast Stream","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Charity Commission","Outside London","G6/G7","[c]","[c]","[c]","[c]"
