"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","London","Inner London - East","180","175","44280","40590"
"In post","2023","Asian","Analysis","London","Inner London - West","355","350","46620","43590"
"In post","2023","Asian","Analysis","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","London","Outer London - South","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North East (England)","Northumberland, and Tyne and Wear","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","North East (England)","Tees Valley and Durham","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","Greater Manchester","40","40","38820","35000"
"In post","2023","Asian","Analysis","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
