"Status","Year","Age","Profession_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Commercial","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","North West (England)","Greater Manchester","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","South West (England)","Devon","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","London","Inner London - West","10","10","27820","28510"
"In post","2023","16-19","Economics","North East (England)","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2023","16-19","Economics","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","5","5","[c]","[c]"
"In post","2023","16-19","Finance","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","15","15","19540","19460"
"In post","2023","16-19","Finance","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Wales","East Wales","5","5","[c]","[c]"
"In post","2023","16-19","Human Resources","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","International Trade","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Legal","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","East Midlands (England)","Derbyshire and Nottinghamshire","40","40","24260","23050"
"In post","2023","16-19","Operational Delivery","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","20","20","25890","28120"
"In post","2023","16-19","Operational Delivery","East Midlands (England)","Lincolnshire","10","10","25630","24070"
"In post","2023","16-19","Operational Delivery","East of England","Bedfordshire and Hertfordshire","10","10","[c]","[c]"
"In post","2023","16-19","Operational Delivery","East of England","East Anglia","45","40","24120","23230"
"In post","2023","16-19","Operational Delivery","East of England","Essex","15","15","24190","22400"
"In post","2023","16-19","Operational Delivery","London","Inner London - East","10","10","[c]","[c]"
"In post","2023","16-19","Operational Delivery","London","Inner London - West","15","15","26180","25640"
"In post","2023","16-19","Operational Delivery","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","London","Outer London - South","10","10","27190","26920"
"In post","2023","16-19","Operational Delivery","London","Outer London - West and North West","20","20","26720","26400"
"In post","2023","16-19","Operational Delivery","North East (England)","Northumberland, and Tyne and Wear","30","25","22460","22520"
"In post","2023","16-19","Operational Delivery","North East (England)","Tees Valley and Durham","30","25","24670","23230"
"In post","2023","16-19","Operational Delivery","North West (England)","Cheshire","5","5","[c]","[c]"
"In post","2023","16-19","Operational Delivery","North West (England)","Cumbria","10","10","23560","22150"
"In post","2023","16-19","Operational Delivery","North West (England)","Greater Manchester","30","30","24050","22520"
"In post","2023","16-19","Operational Delivery","North West (England)","Lancashire","25","25","23930","23230"
"In post","2023","16-19","Operational Delivery","North West (England)","Merseyside","45","40","22660","22400"
"In post","2023","16-19","Operational Delivery","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Scotland","Eastern Scotland","15","15","23530","23700"
"In post","2023","16-19","Operational Delivery","Scotland","North Eastern Scotland","5","5","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Scotland","Southern Scotland","20","20","21100","22080"
"In post","2023","16-19","Operational Delivery","Scotland","West Central Scotland","15","10","22660","22520"
"In post","2023","16-19","Operational Delivery","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","15","15","22700","23230"
"In post","2023","16-19","Operational Delivery","South East (England)","Hampshire and Isle of Wight","50","45","22990","22510"
"In post","2023","16-19","Operational Delivery","South East (England)","Kent","55","55","24040","22400"
"In post","2023","16-19","Operational Delivery","South East (England)","Surrey, East and West Sussex","15","15","25380","25340"
"In post","2023","16-19","Operational Delivery","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","South West (England)","Devon","10","10","24650","22520"
"In post","2023","16-19","Operational Delivery","South West (England)","Dorset and Somerset","5","5","[c]","[c]"
"In post","2023","16-19","Operational Delivery","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","23110","22520"
"In post","2023","16-19","Operational Delivery","Unknown","Unknown","5","5","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Wales","East Wales","35","35","23030","22520"
"In post","2023","16-19","Operational Delivery","Wales","West Wales and The Valleys","90","80","20850","21690"
"In post","2023","16-19","Operational Delivery","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","5","5","[c]","[c]"
"In post","2023","16-19","Operational Delivery","West Midlands (England)","Shropshire and Staffordshire","15","15","25590","23230"
"In post","2023","16-19","Operational Delivery","West Midlands (England)","West Midlands","45","40","22920","22500"
"In post","2023","16-19","Operational Delivery","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","15","15","26220","28880"
"In post","2023","16-19","Operational Delivery","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Delivery","Yorkshire and The Humber","South Yorkshire","15","15","22880","22400"
"In post","2023","16-19","Operational Delivery","Yorkshire and The Humber","West Yorkshire","65","60","24170","22520"
"In post","2023","16-19","Operational Research","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Research","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Research","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Operational Research","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","South West (England)","Devon","5","5","[c]","[c]"
"In post","2023","16-19","Other","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","10","10","20330","19460"
"In post","2023","16-19","Other","Unknown","Unknown","30","30","19370","17400"
"In post","2023","16-19","Other","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Other","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Policy","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Policy","London","Inner London - West","10","10","26680","26090"
"In post","2023","16-19","Policy","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Policy","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Policy","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Policy","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Policy","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Policy","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Project Delivery","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
