"Status","Year","Ethnicity","Function_of_post","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Active Travel England","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Active Travel England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Building Digital UK","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Building Digital UK","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Central Civil Service Fast Stream","London","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Central Civil Service Fast Stream","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Central Civil Service Fast Stream","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","London","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Defence Science and Technology Laboratory","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","London","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education (excl. agencies)","London","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Education (excl. agencies)","Outside London","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Department for International Trade","London","30","30","50050","55370"
"In post","2023","Asian","Analysis","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport (excl. agencies)","London","30","30","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions (excl. agencies)","London","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions (excl. agencies)","Outside London","20","15","[c]","[c]"
"In post","2023","Asian","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Department of Health and Social Care (excl. agencies)","London","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Driver and Vehicle Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Education and Skills Funding Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Government Actuary's Department","London","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","Government Actuary's Department","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Government Legal Department","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Courts and Tribunals Service","London","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","HM Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Crown Prosecution Service Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Prison and Probation Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Prison and Probation Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","HM Revenue and Customs (excl. agencies)","London","70","65","49790","45560"
"In post","2023","Asian","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","35","30","41870","41780"
"In post","2023","Asian","Analysis","HM Treasury (excl. agencies)","London","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Health and Safety Executive","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Health and Safety Executive","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Home Office","London","40","40","44790","43170"
"In post","2023","Asian","Analysis","Home Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Intellectual Property Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Medicines and Healthcare Products Regulatory Agency","London","35","35","33070","28500"
"In post","2023","Asian","Analysis","Medicines and Healthcare Products Regulatory Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Defence (excl. agencies)","London","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Defence (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Defence (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Justice (excl. agencies)","London","65","60","46610","43650"
"In post","2023","Asian","Analysis","Ministry of Justice (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","National Infrastructure Commission","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","National Infrastructure Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","National Savings and Investments","London","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Office for Budget Responsibility","London","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","London","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Office of Gas and Electricity Markets","London","30","30","46710","40890"
"In post","2023","Asian","Analysis","Office of Gas and Electricity Markets","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Planning Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Registers of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Rural Payments Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Teaching Regulation Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","The Insolvency Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","The Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Space Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Space Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","UK Statistics Authority","London","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","UK Statistics Authority","Outside London","65","65","36480","37690"
"In post","2023","Asian","Analysis","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Valuation Office Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Water Services Regulation Authority","London","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Welsh Revenue Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Animal and Plant Health Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Building Digital UK","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Building Digital UK","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Cabinet Office (excl. agencies)","London","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Central Civil Service Fast Stream","London","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Central Civil Service Fast Stream","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Crown Commercial Service","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Defence Equipment and Support","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Defence Equipment and Support","Outside London","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Education (excl. agencies)","London","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Education (excl. agencies)","Outside London","20","20","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Department for International Trade","London","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Transport (excl. agencies)","London","15","15","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Transport (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Work and Pensions (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department for Work and Pensions (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Department of Health and Social Care (excl. agencies)","London","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Driver and Vehicle Licensing Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Education and Skills Funding Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","FCDO Services","Outside London","5","5","[c]","[c]"
"In post","2023","Asian","Commercial","FCDO Services","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Commercial","Government Commercial Organisation","London","50","50","73270","66270"
"In post","2023","Asian","Commercial","Government Commercial Organisation","Outside London","25","25","[c]","[c]"
"In post","2023","Asian","Commercial","Government Commercial Organisation","Unknown","[c]","[c]","[c]","[c]"
