"Status","Year","Age","Region_ITL1","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","East Midlands (England)","Leicester","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Leicester","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Leicestershire CC and Rutland","Female","5","5","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Leicestershire CC and Rutland","Male","10","10","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Lincolnshire CC","Female","5","5","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Lincolnshire CC","Male","10","10","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","North Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","North Nottinghamshire","Male","5","5","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Nottingham","Female","15","15","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","Nottingham","Male","15","15","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","South Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","South Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","South and West Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","South and West Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","West Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East Midlands (England)","West Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Bedford","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Bedford","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Breckland and South Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Breckland and South Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Cambridgeshire CC","Female","5","5","[c]","[c]"
"In post","2023","16-19","East of England","Cambridgeshire CC","Male","5","5","[c]","[c]"
"In post","2023","16-19","East of England","Essex Haven Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Essex Haven Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Heart of Essex","Female","10","10","[c]","[c]"
"In post","2023","16-19","East of England","Heart of Essex","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Hertfordshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Hertfordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","North and West Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","North and West Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Norwich and East Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Norwich and East Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Peterborough","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Peterborough","Male","5","5","[c]","[c]"
"In post","2023","16-19","East of England","Suffolk CC","Female","10","10","[c]","[c]"
"In post","2023","16-19","East of England","Suffolk CC","Male","5","5","[c]","[c]"
"In post","2023","16-19","East of England","Thurrock","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","East of England","Thurrock","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Barnet","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Barnet","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Bexley and Greenwich","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Bexley and Greenwich","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Croydon","Female","10","10","[c]","[c]"
"In post","2023","16-19","London","Croydon","Male","10","10","[c]","[c]"
"In post","2023","16-19","London","Hackney and Newham","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Hackney and Newham","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Harrow and Hillingdon","Female","5","5","[c]","[c]"
"In post","2023","16-19","London","Harrow and Hillingdon","Male","10","10","[c]","[c]"
"In post","2023","16-19","London","Hounslow and Richmond upon Thames","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Hounslow and Richmond upon Thames","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Lambeth","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Lambeth","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Lewisham and Southwark","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Lewisham and Southwark","Male","[c]","[c]","[c]","[c]"
