"Status","Year","Ethnicity","Parent_department","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","20","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","60","55","36120","28850"
"In post","2023","Asian","Attorney General's Departments","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","30","30","46390","54100"
"In post","2023","Asian","Attorney General's Departments","East of England","East Anglia","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","East of England","Essex","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","London","Inner London - East","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","London","Inner London - West","730","685","45630","52020"
"In post","2023","Asian","Attorney General's Departments","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","London","Outer London - South","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","London","Outer London - West and North West","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North East (England)","Northumberland, and Tyne and Wear","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North West (England)","Greater Manchester","35","35","40480","38940"
"In post","2023","Asian","Attorney General's Departments","North West (England)","Lancashire","25","25","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","North West (England)","Merseyside","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","15","15","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South East (England)","Kent","5","5","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South East (England)","Surrey, East and West Sussex","10","10","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Attorney General's Departments","Wales","East Wales","5","5","[c]","[c]"
