"Status","Year","Parent_department","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Barnet","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Barnsley, Doncaster and Rotherham","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G7","20","15","54290","53750"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedford","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","AA/AO","AO","30","25","23920","24480"
"In post","2023","Attorney General's Departments","Berkshire","EO","EO","30","25","28990","28200"
"In post","2023","Attorney General's Departments","Berkshire","G6/G7","G6","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","G6/G7","G7","45","40","59510","57590"
"In post","2023","Attorney General's Departments","Berkshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire","SEO/HEO","HEO","15","15","33710","32820"
"In post","2023","Attorney General's Departments","Berkshire","SEO/HEO","SEO","10","10","40780","40800"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bexley and Greenwich","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Birmingham","AA/AO","AO","120","115","22830","22870"
"In post","2023","Attorney General's Departments","Birmingham","EO","EO","110","105","27680","26900"
"In post","2023","Attorney General's Departments","Birmingham","G6/G7","G6","20","20","73370","69810"
"In post","2023","Attorney General's Departments","Birmingham","G6/G7","G7","215","200","54420","53750"
"In post","2023","Attorney General's Departments","Birmingham","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Birmingham","SEO/HEO","HEO","40","40","32230","31490"
"In post","2023","Attorney General's Departments","Birmingham","SEO/HEO","SEO","30","30","39550","38940"
"In post","2023","Attorney General's Departments","Blackburn with Darwen","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bradford","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bridgend and Neath Port Talbot","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bridgend and Neath Port Talbot","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bridgend and Neath Port Talbot","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Brighton and Hove","AA/AO","AO","30","30","23760","24480"
"In post","2023","Attorney General's Departments","Brighton and Hove","EO","EO","30","30","29100","28200"
"In post","2023","Attorney General's Departments","Brighton and Hove","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Brighton and Hove","G6/G7","G7","40","40","59400","58820"
"In post","2023","Attorney General's Departments","Brighton and Hove","SCS level","SCS level","[c]","[c]","[c]","[c]"
