"Status","Year","Function_of_post","Parent_department","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Attorney General's Departments","London","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","London","Westminster","5","5","[c]","[c]"
"In post","2023","Analysis","Attorney General's Departments","Yorkshire and The Humber","York","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","London","Croydon","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","London","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","London","Tower Hamlets","10","10","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","London","Westminster","80","80","34590","30230"
"In post","2023","Analysis","Cabinet Office","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","North West (England)","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","North West (England)","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Scotland","Glasgow City","10","10","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","South East (England)","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","South West (England)","Bristol, City of","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Wales","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office","Yorkshire and The Humber","York","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","London","Camden and City of London","170","160","72380","67430"
"In post","2023","Analysis","Chancellor's other departments","London","Westminster","25","25","50420","49180"
"In post","2023","Analysis","Chancellor's other departments","North West (England)","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Chancellor's other departments","Scotland","City of Edinburgh","15","10","70680","70000"
"In post","2023","Analysis","Chancellor's other departments","Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","North West (England)","Sefton","10","10","31600","30170"
"In post","2023","Analysis","Charity Commission","South West (England)","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","London","Tower Hamlets","125","120","64110","58050"
"In post","2023","Analysis","Competition and Markets Authority","North East (England)","Darlington","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","North West (England)","Manchester","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Scotland","City of Edinburgh","10","10","47640","34370"
"In post","2023","Analysis","Competition and Markets Authority","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Lincolnshire CC","[c]","[c]","[c]","[c]"
