"Status","Year","Disability","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Accountant in Bankruptcy","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Accountant in Bankruptcy","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Active Travel England","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","EO","55","50","26020","25160"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","HEO","100","90","33730","32360"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Advisory, Conciliation and Arbitration Service","SEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","AO","150","140","23070","22150"
"In post","2023","Declared disabled","Animal and Plant Health Agency","EO","120","115","27060","25920"
"In post","2023","Declared disabled","Animal and Plant Health Agency","G6","5","5","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","G7","25","20","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","HEO","80","75","31810","30640"
"In post","2023","Declared disabled","Animal and Plant Health Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Animal and Plant Health Agency","SEO","45","40","39630","38280"
"In post","2023","Declared disabled","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Office","SEO","[c]","[c]","[c]","[c]"
