"Status","Year","Age","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Commercial","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","16-19","Economics","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","EO","Undeclared","[c]","[c]","[c]","[c]"
