"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","East Midlands (England)","Derby","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Midlands (England)","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Midlands (England)","Leicester","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Midlands (England)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Midlands (England)","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Midlands (England)","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Midlands (England)","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Midlands (England)","Nottingham","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","Luton","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","London","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","London","Barnet","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","London","Brent","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","London","Bromley","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","London","Camden and City of London","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","London","Croydon","20","15","[c]","[c]"
"In post","2023","Asian","Analysis","London","Hackney and Newham","35","35","47100","45050"
"In post","2023","Asian","Analysis","London","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","London","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","London","Lambeth","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","London","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","London","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","London","Tower Hamlets","140","140","43630","40000"
"In post","2023","Asian","Analysis","London","Westminster","325","320","46220","43190"
"In post","2023","Asian","Analysis","North East (England)","Darlington","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","North East (England)","Durham","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North East (England)","Northumberland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North East (England)","South Teesside","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North East (England)","Sunderland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North East (England)","Tyneside","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","Blackpool","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","Greater Manchester South West","25","25","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","Liverpool","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","Manchester","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","Sefton","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","Warrington","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","Wirral","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Northern Ireland","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Northern Ireland","Belfast","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Northern Ireland","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Northern Ireland","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Northern Ireland","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scotland","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scotland","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scotland","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scotland","Falkirk","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scotland","Glasgow City","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scotland","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scotland","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","Berkshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","Central Hampshire","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","East Kent","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","Medway","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","South Hampshire","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","Southampton","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","West Kent","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","West Surrey","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","West Sussex (South West)","[c]","[c]","[c]","[c]"
