"Status","Year","Region_ITL1","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","East Midlands (England)","Derby","Outside London","Female","740","630","27020","25300"
"In post","2023","East Midlands (England)","Derby","Outside London","Male","395","380","31270","28120"
"In post","2023","East Midlands (England)","East Derbyshire","Outside London","Female","270","230","28280","28120"
"In post","2023","East Midlands (England)","East Derbyshire","Outside London","Male","115","115","33220","28120"
"In post","2023","East Midlands (England)","Leicester","Outside London","Female","1445","1275","28620","27450"
"In post","2023","East Midlands (England)","Leicester","Outside London","Male","925","885","29000","28120"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","Outside London","Female","1120","1005","29780","28120"
"In post","2023","East Midlands (England)","Leicestershire CC and Rutland","Outside London","Male","970","940","33180","31510"
"In post","2023","East Midlands (England)","Lincolnshire CC","Outside London","Female","1625","1490","29400","27740"
"In post","2023","East Midlands (England)","Lincolnshire CC","Outside London","Male","1460","1405","32240","30400"
"In post","2023","East Midlands (England)","North Northamptonshire","Outside London","Female","435","380","27230","24570"
"In post","2023","East Midlands (England)","North Northamptonshire","Outside London","Male","170","165","28900","28120"
"In post","2023","East Midlands (England)","North Nottinghamshire","Outside London","Female","625","570","31610","28120"
"In post","2023","East Midlands (England)","North Nottinghamshire","Outside London","Male","520","500","32570","28880"
"In post","2023","East Midlands (England)","Nottingham","Outside London","Female","5230","4795","33430","28840"
"In post","2023","East Midlands (England)","Nottingham","Outside London","Male","4175","4050","34450","31510"
"In post","2023","East Midlands (England)","South Nottinghamshire","Outside London","Female","575","535","34790","30360"
"In post","2023","East Midlands (England)","South Nottinghamshire","Outside London","Male","485","470","34250","30440"
"In post","2023","East Midlands (England)","South and West Derbyshire","Outside London","Female","715","640","34000","29470"
"In post","2023","East Midlands (England)","South and West Derbyshire","Outside London","Male","510","485","38430","32920"
"In post","2023","East Midlands (England)","West Northamptonshire","Outside London","Female","715","640","28940","26840"
"In post","2023","East Midlands (England)","West Northamptonshire","Outside London","Male","415","395","31910","28880"
"In post","2023","East of England","Bedford","Outside London","Female","530","485","31090","28480"
"In post","2023","East of England","Bedford","Outside London","Male","375","365","33830","30880"
