"Status","Year","Disability","Profession_of_post","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","SEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","G6","20","20","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","G7","50","50","60620","56960"
"In post","2023","Declared disabled","Commercial","London","HEO","40","40","34860","35560"
"In post","2023","Declared disabled","Commercial","London","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","London","SEO","40","40","45080","43760"
"In post","2023","Declared disabled","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North East (England)","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","AO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","EO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","G7","15","15","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","HEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","North West (England)","SEO","40","40","40410","38940"
"In post","2023","Declared disabled","Commercial","North West (England)","Unknown","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Northern Ireland","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Northern Ireland","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Commercial","Scotland","G6","[c]","[c]","[c]","[c]"
