"Status","Year","Age","Profession_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Commercial","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","London","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Communications","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Counter Fraud","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","London","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","South East (England)","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Digital, Data and Technology","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","London","London","15","15","27620","28510"
"In post","2023","16-19","Economics","North East (England)","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Economics","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Economics","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","London","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","South East (England)","Outside London","5","5","[c]","[c]"
"In post","2023","16-19","Finance","South West (England)","Outside London","15","15","19540","19460"
"In post","2023","16-19","Finance","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Finance","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","London","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Human Resources","Wales","Outside London","10","10","22830","22150"
"In post","2023","16-19","Human Resources","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","International Trade","London","London","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Knowledge and Information Management","London","London","[c]","[c]","[c]","[c]"
