"Status","Year","Parent_department","Profession_of_post","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Commercial","Derbyshire and Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Essex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Greater Manchester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Inner London - West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Inner London - West","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Leicestershire, Rutland and Northamptonshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","North Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","North Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","North Yorkshire","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Northumberland, and Tyne and Wear","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Shropshire and Staffordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","Shropshire and Staffordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","South Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","West Midlands","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","West Wales and The Valleys","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Commercial","West Wales and The Valleys","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Bedfordshire and Hertfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Derbyshire and Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Devon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","East Anglia","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","East Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","East Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Greater Manchester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Hampshire and Isle of Wight","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Inner London - West","EO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Inner London - West","G6/G7","20","20","60060","55850"
"In post","2023","Attorney General's Departments","Communications","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Inner London - West","SEO/HEO","40","40","36870","34850"
"In post","2023","Attorney General's Departments","Communications","Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Leicestershire, Rutland and Northamptonshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Leicestershire, Rutland and Northamptonshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Merseyside","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","North Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","North Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","Northumberland, and Tyne and Wear","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","West Midlands","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Communications","West Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","Inner London - West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Corporate Finance","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","Inner London - West","EO","50","50","27970","27010"
"In post","2023","Attorney General's Departments","Counter Fraud","Inner London - West","G6/G7","75","70","66350","67530"
"In post","2023","Attorney General's Departments","Counter Fraud","Inner London - West","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Counter Fraud","Inner London - West","SEO/HEO","105","100","39740","40000"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Bedfordshire and Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Derbyshire and Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Derbyshire and Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Devon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","East Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","East Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","East Yorkshire and Northern Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Hampshire and Isle of Wight","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Inner London - West","EO","10","10","31360","30700"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Inner London - West","G6/G7","35","35","65750","65530"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Inner London - West","SEO/HEO","50","50","40020","40900"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Lancashire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Leicestershire, Rutland and Northamptonshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Merseyside","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Merseyside","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","North Yorkshire","EO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","North Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","North Yorkshire","SEO/HEO","10","10","35800","33460"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Northumberland, and Tyne and Wear","G6/G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Northumberland, and Tyne and Wear","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Shropshire and Staffordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","South Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","Tees Valley and Durham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","West Midlands","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","West Midlands","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","West Wales and The Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","West Wales and The Valleys","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","West Wales and The Valleys","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","West Yorkshire","EO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","West Yorkshire","G6/G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Digital, Data and Technology","West Yorkshire","SEO/HEO","10","10","[c]","[c]"
