"Status","Year","Profession_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","Outside London","20","15","44990","36000"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","195","190","43560","40750"
"In post","2023","Commercial","Cheshire","Outside London","35","35","42410","38640"
"In post","2023","Commercial","Cornwall and Isles of Scilly","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","Cumbria","Outside London","20","20","43720","42620"
"In post","2023","Commercial","Derbyshire and Nottinghamshire","Outside London","100","100","48800","43360"
"In post","2023","Commercial","Devon","Outside London","85","85","44800","40420"
"In post","2023","Commercial","Dorset and Somerset","Outside London","60","60","42690","42620"
"In post","2023","Commercial","East Anglia","Outside London","240","230","45520","40620"
"In post","2023","Commercial","East Wales","Outside London","205","200","40300","37680"
"In post","2023","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","15","15","54660","50350"
"In post","2023","Commercial","Eastern Scotland","Outside London","105","100","38800","34570"
"In post","2023","Commercial","Essex","Outside London","5","5","[c]","[c]"
"In post","2023","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","1600","1535","43570","42010"
"In post","2023","Commercial","Greater Manchester","Outside London","370","360","49370","42510"
"In post","2023","Commercial","Hampshire and Isle of Wight","Outside London","300","290","42550","39890"
"In post","2023","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","10","10","[c]","[c]"
"In post","2023","Commercial","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Inner London - East","London","185","180","53080","47050"
"In post","2023","Commercial","Inner London - West","London","1295","1275","61630","56200"
"In post","2023","Commercial","Kent","Outside London","20","20","53020","50350"
"In post","2023","Commercial","Lancashire","Outside London","195","190","43460","38470"
"In post","2023","Commercial","Leicestershire, Rutland and Northamptonshire","Outside London","30","30","42050","37060"
"In post","2023","Commercial","Lincolnshire","Outside London","15","15","40270","38460"
"In post","2023","Commercial","Merseyside","Outside London","315","305","41750","40040"
"In post","2023","Commercial","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North Yorkshire","Outside London","100","95","46830","42720"
"In post","2023","Commercial","Northern Ireland","Outside London","10","10","32450","29720"
"In post","2023","Commercial","Northumberland, and Tyne and Wear","Outside London","110","105","44490","38470"
"In post","2023","Commercial","Outer London - East and North East","London","15","10","45870","43790"
"In post","2023","Commercial","Outer London - South","London","150","145","48730","43650"
"In post","2023","Commercial","Outer London - West and North West","London","65","65","38520","33330"
"In post","2023","Commercial","Overseas","Overseas","30","30","67720","60030"
"In post","2023","Commercial","Shropshire and Staffordshire","Outside London","185","180","40230","34300"
"In post","2023","Commercial","South Yorkshire","Outside London","285","270","42450","38470"
"In post","2023","Commercial","Southern Scotland","Outside London","65","65","51060","49960"
"In post","2023","Commercial","Surrey, East and West Sussex","Outside London","45","45","51290","49510"
"In post","2023","Commercial","Tees Valley and Durham","Outside London","75","75","45140","41590"
"In post","2023","Commercial","Unknown","Unknown","10","10","56290","38470"
"In post","2023","Commercial","West Central Scotland","Outside London","210","205","41090","35490"
"In post","2023","Commercial","West Midlands","Outside London","195","190","52260","42250"
"In post","2023","Commercial","West Wales and The Valleys","Outside London","220","200","35220","31940"
"In post","2023","Commercial","West Yorkshire","Outside London","385","370","46420","38470"
"In post","2023","Communications","Bedfordshire and Hertfordshire","Outside London","25","25","38330","35870"
"In post","2023","Communications","Berkshire, Buckinghamshire and Oxfordshire","Outside London","95","90","34980","33000"
"In post","2023","Communications","Cheshire","Outside London","15","15","38370","37300"
"In post","2023","Communications","Cornwall and Isles of Scilly","Outside London","10","10","24330","22220"
"In post","2023","Communications","Cumbria","Outside London","5","5","[c]","[c]"
"In post","2023","Communications","Derbyshire and Nottinghamshire","Outside London","100","95","41240","40570"
"In post","2023","Communications","Devon","Outside London","50","50","34860","32770"
"In post","2023","Communications","Dorset and Somerset","Outside London","45","40","35010","34330"
"In post","2023","Communications","East Anglia","Outside London","40","40","35260","33520"
"In post","2023","Communications","East Wales","Outside London","310","295","41300","39690"
"In post","2023","Communications","East Yorkshire and Northern Lincolnshire","Outside London","5","5","[c]","[c]"
"In post","2023","Communications","Eastern Scotland","Outside London","45","45","44430","39590"
"In post","2023","Communications","Essex","Outside London","5","5","[c]","[c]"
"In post","2023","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","220","205","38980","37300"
"In post","2023","Communications","Greater Manchester","Outside London","110","105","38940","37000"
"In post","2023","Communications","Hampshire and Isle of Wight","Outside London","165","160","35700","33990"
"In post","2023","Communications","Herefordshire, Worcestershire and Warwickshire","Outside London","20","20","39280","37710"
"In post","2023","Communications","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Inner London - East","London","235","230","48490","42240"
"In post","2023","Communications","Inner London - West","London","1690","1660","49480","45740"
"In post","2023","Communications","Kent","Outside London","10","10","[c]","[c]"
"In post","2023","Communications","Lancashire","Outside London","35","30","39020","37300"
"In post","2023","Communications","Leicestershire, Rutland and Northamptonshire","Outside London","5","5","[c]","[c]"
"In post","2023","Communications","Lincolnshire","Outside London","20","15","33240","34300"
"In post","2023","Communications","Merseyside","Outside London","90","85","40970","40160"
"In post","2023","Communications","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","North Yorkshire","Outside London","20","20","36360","35790"
"In post","2023","Communications","Northern Ireland","Outside London","25","25","40450","38660"
"In post","2023","Communications","Northumberland, and Tyne and Wear","Outside London","75","70","39620","37710"
"In post","2023","Communications","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Outer London - South","London","35","35","45970","43150"
"In post","2023","Communications","Outer London - West and North West","London","35","30","38480","35470"
"In post","2023","Communications","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2023","Communications","Shropshire and Staffordshire","Outside London","60","55","36120","33990"
"In post","2023","Communications","South Yorkshire","Outside London","85","75","41980","40650"
"In post","2023","Communications","Southern Scotland","Outside London","5","5","[c]","[c]"
"In post","2023","Communications","Surrey, East and West Sussex","Outside London","20","20","46930","43220"
"In post","2023","Communications","Tees Valley and Durham","Outside London","50","45","33490","31200"
"In post","2023","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Communications","West Central Scotland","Outside London","45","45","36620","34000"
"In post","2023","Communications","West Midlands","Outside London","95","95","42910","40790"
"In post","2023","Communications","West Wales and The Valleys","Outside London","120","115","33920","31270"
"In post","2023","Communications","West Yorkshire","Outside London","80","75","45270","43700"
"In post","2023","Corporate Finance","Dorset and Somerset","Outside London","5","5","[c]","[c]"
"In post","2023","Corporate Finance","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","5","5","[c]","[c]"
"In post","2023","Corporate Finance","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","Inner London - East","London","20","20","46910","43700"
"In post","2023","Corporate Finance","Inner London - West","London","55","55","60610","55060"
"In post","2023","Corporate Finance","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Corporate Finance","West Midlands","Outside London","10","10","[c]","[c]"
"In post","2023","Counter Fraud","Bedfordshire and Hertfordshire","Outside London","105","95","30060","31280"
"In post","2023","Counter Fraud","Berkshire, Buckinghamshire and Oxfordshire","Outside London","145","130","31620","31280"
"In post","2023","Counter Fraud","Cheshire","Outside London","25","20","29150","28120"
"In post","2023","Counter Fraud","Cornwall and Isles of Scilly","Outside London","50","45","30380","28120"
"In post","2023","Counter Fraud","Cumbria","Outside London","20","20","28930","28120"
"In post","2023","Counter Fraud","Derbyshire and Nottinghamshire","Outside London","420","380","31890","28130"
"In post","2023","Counter Fraud","Devon","Outside London","95","85","29160","28120"
"In post","2023","Counter Fraud","Dorset and Somerset","Outside London","145","135","29800","28120"
"In post","2023","Counter Fraud","East Anglia","Outside London","235","220","29390","28120"
"In post","2023","Counter Fraud","East Wales","Outside London","340","310","29480","27890"
"In post","2023","Counter Fraud","East Yorkshire and Northern Lincolnshire","Outside London","130","115","27980","28120"
"In post","2023","Counter Fraud","Eastern Scotland","Outside London","150","140","29310","28120"
"In post","2023","Counter Fraud","Essex","Outside London","125","120","32690","31280"
"In post","2023","Counter Fraud","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","220","200","31540","28130"
"In post","2023","Counter Fraud","Greater Manchester","Outside London","510","475","33140","29550"
"In post","2023","Counter Fraud","Hampshire and Isle of Wight","Outside London","245","215","30690","28120"
