"Status","Year","Organisation","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Accountant in Bankruptcy","Scottish Government","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","AA","Unknown","25","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","EO","Unknown","15","15","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","HEO","Unknown","5","5","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2023","Accountant in Bankruptcy","Scottish Government","SEO","LGBO","[c]","[c]","[c]","[c]"
