"Status","Year","Ethnicity","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","HEO","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Digital, Data and Technology","SEO","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","AO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","EO","30","30","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","G6","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","G7","55","55","57510","56070"
"In post","2023","Asian","Analysis","Economics","HEO","75","75","35630","35010"
"In post","2023","Asian","Analysis","Economics","SCS level","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","SEO","20","20","[c]","[c]"
"In post","2023","Asian","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Human Resources","G6","[c]","[c]","[c]","[c]"
