"Status","Year","Age","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","45","45","24160","22700"
"In post","2023","16-19","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","25","25","25350","23230"
"In post","2023","16-19","East Midlands (England)","Lincolnshire","15","15","24840","23230"
"In post","2023","16-19","East of England","Bedfordshire and Hertfordshire","10","10","[c]","[c]"
"In post","2023","16-19","East of England","East Anglia","50","45","24000","23230"
"In post","2023","16-19","East of England","Essex","15","15","24190","22400"
"In post","2023","16-19","London","Inner London - East","20","20","27130","25480"
"In post","2023","16-19","London","Inner London - West","65","60","27120","28050"
"In post","2023","16-19","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2023","16-19","London","Outer London - South","20","15","27420","26920"
"In post","2023","16-19","London","Outer London - West and North West","20","20","26720","26400"
"In post","2023","16-19","North East (England)","Northumberland, and Tyne and Wear","45","45","23020","22520"
"In post","2023","16-19","North East (England)","Tees Valley and Durham","35","35","24670","23230"
"In post","2023","16-19","North West (England)","Cheshire","5","5","[c]","[c]"
"In post","2023","16-19","North West (England)","Cumbria","10","10","23630","22150"
"In post","2023","16-19","North West (England)","Greater Manchester","45","45","23880","22520"
"In post","2023","16-19","North West (England)","Lancashire","30","30","23890","23230"
"In post","2023","16-19","North West (England)","Merseyside","55","50","23120","22520"
"In post","2023","16-19","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Scotland","Eastern Scotland","35","35","23100","22720"
"In post","2023","16-19","Scotland","Highlands and Islands","5","5","[c]","[c]"
"In post","2023","16-19","Scotland","North Eastern Scotland","5","5","[c]","[c]"
"In post","2023","16-19","Scotland","Southern Scotland","35","30","21660","22180"
"In post","2023","16-19","Scotland","West Central Scotland","50","50","22640","22460"
"In post","2023","16-19","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","55","55","23460","23230"
"In post","2023","16-19","South East (England)","Hampshire and Isle of Wight","60","55","23200","22520"
"In post","2023","16-19","South East (England)","Kent","55","55","24070","22400"
"In post","2023","16-19","South East (England)","Surrey, East and West Sussex","15","15","25320","25340"
"In post","2023","16-19","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2023","16-19","South West (England)","Devon","35","35","22060","20660"
"In post","2023","16-19","South West (England)","Dorset and Somerset","10","10","[c]","[c]"
"In post","2023","16-19","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","165","165","20610","19460"
"In post","2023","16-19","Unknown","Unknown","40","40","21120","17810"
"In post","2023","16-19","Wales","East Wales","60","60","22400","22520"
"In post","2023","16-19","Wales","West Wales and The Valleys","100","90","21120","21690"
"In post","2023","16-19","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","5","5","[c]","[c]"
"In post","2023","16-19","West Midlands (England)","Shropshire and Staffordshire","25","25","23750","23230"
"In post","2023","16-19","West Midlands (England)","West Midlands","55","55","23480","22500"
"In post","2023","16-19","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","15","15","25960","26140"
"In post","2023","16-19","Yorkshire and The Humber","North Yorkshire","5","5","[c]","[c]"
"In post","2023","16-19","Yorkshire and The Humber","South Yorkshire","20","20","22850","22400"
"In post","2023","16-19","Yorkshire and The Humber","West Yorkshire","85","80","23940","22520"
"In post","2023","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","2305","2260","28300","27890"
"In post","2023","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","965","935","26080","25300"
"In post","2023","20-29","East Midlands (England)","Lincolnshire","350","345","27320","28120"
"In post","2023","20-29","East of England","Bedfordshire and Hertfordshire","680","670","30230","30810"
"In post","2023","20-29","East of England","East Anglia","1675","1635","28050","28120"
"In post","2023","20-29","East of England","Essex","630","620","27520","25880"
"In post","2023","20-29","London","Inner London - East","3220","3195","36440","34110"
"In post","2023","20-29","London","Inner London - West","15770","15705","40150","37240"
"In post","2023","20-29","London","Outer London - East and North East","610","600","31170","32520"
"In post","2023","20-29","London","Outer London - South","1655","1635","34480","32260"
"In post","2023","20-29","London","Outer London - West and North West","1445","1425","31510","29890"
"In post","2023","20-29","North East (England)","Northumberland, and Tyne and Wear","3190","3130","28150","27650"
"In post","2023","20-29","North East (England)","Tees Valley and Durham","1675","1635","27700","28080"
"In post","2023","20-29","North West (England)","Cheshire","635","625","29400","28880"
"In post","2023","20-29","North West (England)","Cumbria","265","260","25190","22150"
"In post","2023","20-29","North West (England)","Greater Manchester","4110","4070","30000","28120"
"In post","2023","20-29","North West (England)","Lancashire","1750","1715","26750","28120"
"In post","2023","20-29","North West (England)","Merseyside","3660","3595","26660","25750"
"In post","2023","20-29","Northern Ireland","Northern Ireland","605","595","26590","22740"
"In post","2023","20-29","Overseas","Overseas","340","340","38980","34880"
"In post","2023","20-29","Scotland","Eastern Scotland","3310","3255","30570","29100"
"In post","2023","20-29","Scotland","Highlands and Islands","210","205","26910","26220"
"In post","2023","20-29","Scotland","North Eastern Scotland","230","225","30160","29100"
"In post","2023","20-29","Scotland","Southern Scotland","820","805","27520","25060"
"In post","2023","20-29","Scotland","West Central Scotland","3270","3215","28550","26550"
"In post","2023","20-29","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","1300","1285","29730","29140"
"In post","2023","20-29","South East (England)","Hampshire and Isle of Wight","2135","2105","29900","28880"
"In post","2023","20-29","South East (England)","Kent","1425","1410","27410","25880"
"In post","2023","20-29","South East (England)","Surrey, East and West Sussex","1215","1190","29050","28150"
"In post","2023","20-29","South West (England)","Cornwall and Isles of Scilly","130","125","25880","24090"
"In post","2023","20-29","South West (England)","Devon","1120","1105","27760","27140"
"In post","2023","20-29","South West (England)","Dorset and Somerset","620","610","27800","27610"
"In post","2023","20-29","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","5400","5350","30340","29590"
"In post","2023","20-29","Unknown","Unknown","545","540","31630","29860"
"In post","2023","20-29","Wales","East Wales","3355","3310","29290","27890"
"In post","2023","20-29","Wales","West Wales and The Valleys","2035","1965","25580","23640"
"In post","2023","20-29","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","495","490","27080","27110"
"In post","2023","20-29","West Midlands (England)","Shropshire and Staffordshire","1245","1225","28990","28480"
"In post","2023","20-29","West Midlands (England)","West Midlands","3665","3585","28120","26940"
"In post","2023","20-29","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","740","730","27590","28120"
"In post","2023","20-29","Yorkshire and The Humber","North Yorkshire","630","625","28790","27320"
"In post","2023","20-29","Yorkshire and The Humber","South Yorkshire","1840","1815","28970","25950"
"In post","2023","20-29","Yorkshire and The Humber","West Yorkshire","3860","3795","29190","28120"
"In post","2023","30-39","East Midlands (England)","Derbyshire and Nottinghamshire","3070","2915","32960","30810"
"In post","2023","30-39","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","1270","1175","29790","28120"
"In post","2023","30-39","East Midlands (England)","Lincolnshire","525","510","31620","30410"
"In post","2023","30-39","East of England","Bedfordshire and Hertfordshire","875","835","35240","31920"
"In post","2023","30-39","East of England","East Anglia","2440","2285","31820","30350"
"In post","2023","30-39","East of England","Essex","790","745","31300","31270"
"In post","2023","30-39","London","Inner London - East","4295","4165","45520","41190"
"In post","2023","30-39","London","Inner London - West","16055","15700","51790","54440"
"In post","2023","30-39","London","Outer London - East and North East","750","715","34220","32520"
"In post","2023","30-39","London","Outer London - South","2325","2250","40380","36180"
"In post","2023","30-39","London","Outer London - West and North West","1775","1710","35080","32520"
"In post","2023","30-39","North East (England)","Northumberland, and Tyne and Wear","5115","4820","32340","28130"
"In post","2023","30-39","North East (England)","Tees Valley and Durham","2250","2130","31160","28880"
"In post","2023","30-39","North West (England)","Cheshire","1025","985","34300","32540"
"In post","2023","30-39","North West (England)","Cumbria","415","390","29520","25920"
"In post","2023","30-39","North West (England)","Greater Manchester","5520","5335","35140","32160"
"In post","2023","30-39","North West (England)","Lancashire","2600","2450","29740","28120"
"In post","2023","30-39","North West (England)","Merseyside","5315","5040","30730","27890"
"In post","2023","30-39","Northern Ireland","Northern Ireland","1125","1085","31580","28130"
"In post","2023","30-39","Overseas","Overseas","1030","1025","50090","52850"
"In post","2023","30-39","Scotland","Eastern Scotland","5445","5230","37710","34730"
"In post","2023","30-39","Scotland","Highlands and Islands","335","320","31700","29560"
"In post","2023","30-39","Scotland","North Eastern Scotland","420","395","36310","34070"
"In post","2023","30-39","Scotland","Southern Scotland","1335","1270","32420","28490"
"In post","2023","30-39","Scotland","West Central Scotland","5250","5050","34260","31290"
"In post","2023","30-39","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","1850","1775","34990","32860"
"In post","2023","30-39","South East (England)","Hampshire and Isle of Wight","2855","2700","35360","32950"
"In post","2023","30-39","South East (England)","Kent","1770","1695","30870","30880"
"In post","2023","30-39","South East (England)","Surrey, East and West Sussex","1500","1405","33070","31270"
"In post","2023","30-39","South West (England)","Cornwall and Isles of Scilly","265","240","27890","26780"
"In post","2023","30-39","South West (England)","Devon","1885","1760","33230","31280"
"In post","2023","30-39","South West (England)","Dorset and Somerset","960","910","32630","30410"
"In post","2023","30-39","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","7200","6865","38480","37300"
"In post","2023","30-39","Unknown","Unknown","570","565","39240","38340"
"In post","2023","30-39","Wales","East Wales","5485","5255","35400","32420"
"In post","2023","30-39","Wales","West Wales and The Valleys","3985","3705","29050","27450"
"In post","2023","30-39","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","760","720","29920","28480"
"In post","2023","30-39","West Midlands (England)","Shropshire and Staffordshire","1845","1770","32840","30940"
"In post","2023","30-39","West Midlands (England)","West Midlands","4935","4675","32570","28130"
"In post","2023","30-39","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","945","885","30060","28880"
"In post","2023","30-39","Yorkshire and The Humber","North Yorkshire","870","835","35010","32930"
"In post","2023","30-39","Yorkshire and The Humber","South Yorkshire","2685","2515","33790","31280"
