"Status","Year","Disability","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Attorney General's Departments","AA/AO","AA","5","5","[c]","[c]"
"In post","2023","Declared disabled","Attorney General's Departments","AA/AO","AO","210","195","23310","22870"
"In post","2023","Declared disabled","Attorney General's Departments","EO","EO","245","225","28770","28850"
"In post","2023","Declared disabled","Attorney General's Departments","G6/G7","G6","90","85","72520","71370"
"In post","2023","Declared disabled","Attorney General's Departments","G6/G7","G7","425","390","57540","56450"
"In post","2023","Declared disabled","Attorney General's Departments","SCS level","SCS level","35","35","88260","83420"
"In post","2023","Declared disabled","Attorney General's Departments","SEO/HEO","HEO","115","110","34690","33540"
"In post","2023","Declared disabled","Attorney General's Departments","SEO/HEO","SEO","80","75","40360","40000"
"In post","2023","Declared disabled","Cabinet Office","AA/AO","AO","80","75","22530","21720"
"In post","2023","Declared disabled","Cabinet Office","EO","EO","130","125","27290","27430"
"In post","2023","Declared disabled","Cabinet Office","G6/G7","G6","115","115","71640","67310"
"In post","2023","Declared disabled","Cabinet Office","G6/G7","G7","315","310","57750","56430"
"In post","2023","Declared disabled","Cabinet Office","SCS level","SCS level","75","75","95800","81810"
"In post","2023","Declared disabled","Cabinet Office","SEO/HEO","HEO","485","485","32030","32640"
"In post","2023","Declared disabled","Cabinet Office","SEO/HEO","SEO","185","180","40790","41250"
"In post","2023","Declared disabled","Chancellor's other departments","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","EO","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","G6/G7","G6","10","10","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","G6/G7","G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Chancellor's other departments","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","EO","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Charity Commission","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","EO","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","G6/G7","G6","15","15","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","G6/G7","G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","SCS level","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Competition and Markets Authority","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","AA/AO","AA","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","AA/AO","AO","135","120","22770","22180"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","EO","EO","205","195","27090","26650"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","G6/G7","G6","85","85","68350","66970"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","G6/G7","G7","285","275","55180","55120"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","30","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","360","340","34030","33470"
"In post","2023","Declared disabled","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","325","315","42100","41360"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","EO","EO","20","20","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","G6/G7","G6","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","G6/G7","G7","65","65","54480","53030"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","SCS level","SCS level","10","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","75","70","36340","35620"
"In post","2023","Declared disabled","Department for Education","AA/AO","AO","15","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Education","EO","EO","90","85","27620","26940"
"In post","2023","Declared disabled","Department for Education","G6/G7","G6","75","75","66260","65780"
"In post","2023","Declared disabled","Department for Education","G6/G7","G7","195","185","53550","51910"
"In post","2023","Declared disabled","Department for Education","SCS level","SCS level","30","30","87050","80320"
"In post","2023","Declared disabled","Department for Education","SEO/HEO","HEO","180","170","32060","31200"
"In post","2023","Declared disabled","Department for Education","SEO/HEO","SEO","245","240","39990","38210"
"In post","2023","Declared disabled","Department for Education","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","AA/AO","AO","420","380","22550","22150"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","EO","EO","325","305","26870","25920"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","G6/G7","G6","85","80","62390","61990"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","G6/G7","G7","265","255","51910","50340"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","SCS level","SCS level","30","30","83150","77080"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","355","340","31750","30820"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","320","305","38840","37710"
"In post","2023","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","AA/AO","AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","EO","EO","35","35","29470","29400"
"In post","2023","Declared disabled","Department for International Trade","G6/G7","G6","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","G6/G7","G7","65","65","56100","55370"
"In post","2023","Declared disabled","Department for International Trade","SCS level","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for International Trade","SEO/HEO","HEO","60","60","34920","35010"
"In post","2023","Declared disabled","Department for International Trade","SEO/HEO","SEO","65","65","41990","41550"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","AA/AO","AO","25","25","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","EO","EO","60","55","28820","28850"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","G6/G7","G6","50","50","67790","65410"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","G6/G7","G7","115","110","53700","54630"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","SCS level","SCS level","15","15","[c]","[c]"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","SEO/HEO","HEO","100","100","33930","34310"
"In post","2023","Declared disabled","Department for Levelling Up, Housing and Communities","SEO/HEO","SEO","80","80","40650","40800"
"In post","2023","Declared disabled","Department for Transport","AA/AO","AA","170","130","19040","19000"
"In post","2023","Declared disabled","Department for Transport","AA/AO","AO","425","360","23030","22500"
"In post","2023","Declared disabled","Department for Transport","EO","EO","380","335","28380","27450"
"In post","2023","Declared disabled","Department for Transport","G6/G7","G6","35","35","71630","68150"
"In post","2023","Declared disabled","Department for Transport","G6/G7","G7","90","90","55760","55740"
"In post","2023","Declared disabled","Department for Transport","SCS level","SCS level","15","10","[c]","[c]"
"In post","2023","Declared disabled","Department for Transport","SEO/HEO","HEO","190","185","33920","32950"
"In post","2023","Declared disabled","Department for Transport","SEO/HEO","SEO","125","120","43420","43160"
"In post","2023","Declared disabled","Department for Work and Pensions","AA/AO","AA","70","60","21300","21250"
"In post","2023","Declared disabled","Department for Work and Pensions","AA/AO","AO","5315","4465","22000","21690"
"In post","2023","Declared disabled","Department for Work and Pensions","EO","EO","9080","7990","28770","28120"
"In post","2023","Declared disabled","Department for Work and Pensions","G6/G7","G6","130","120","70610","67700"
"In post","2023","Declared disabled","Department for Work and Pensions","G6/G7","G7","425","405","53770","53190"
"In post","2023","Declared disabled","Department for Work and Pensions","SCS level","SCS level","35","35","92350","81640"
"In post","2023","Declared disabled","Department for Work and Pensions","SEO/HEO","HEO","1675","1555","35200","34170"
