"Status","Year","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Essex","Unknown","505","465","29500","26840"
"In post","2023","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","4450","4150","23780","22220"
"In post","2023","Gloucestershire, Wiltshire and Bath/Bristol area","EO","4465","4150","27960","27780"
"In post","2023","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","6080","5855","57470","55730"
"In post","2023","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","330","320","98610","92090"
"In post","2023","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","12800","12285","37530","37300"
"In post","2023","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","2425","2310","39080","34870"
"In post","2023","Greater Manchester","AA/AO","5245","4785","23150","22400"
"In post","2023","Greater Manchester","EO","5690","5340","27780","28120"
"In post","2023","Greater Manchester","G6/G7","2970","2885","58700","56870"
"In post","2023","Greater Manchester","SCS level","155","155","93140","84430"
"In post","2023","Greater Manchester","SEO/HEO","6835","6620","36840","35000"
"In post","2023","Greater Manchester","Unknown","1410","1335","29760","26840"
"In post","2023","Hampshire and Isle of Wight","AA/AO","4450","3830","23890","22220"
"In post","2023","Hampshire and Isle of Wight","EO","3330","3115","28370","27740"
"In post","2023","Hampshire and Isle of Wight","G6/G7","2300","2210","57980","55850"
"In post","2023","Hampshire and Isle of Wight","SCS level","105","100","94910","93030"
"In post","2023","Hampshire and Isle of Wight","SEO/HEO","5080","4895","37140","35600"
"In post","2023","Hampshire and Isle of Wight","Unknown","605","555","30020","26840"
"In post","2023","Herefordshire, Worcestershire and Warwickshire","AA/AO","1710","1585","25080","22330"
"In post","2023","Herefordshire, Worcestershire and Warwickshire","EO","1035","960","28720","28120"
"In post","2023","Herefordshire, Worcestershire and Warwickshire","G6/G7","215","205","59810","55380"
"In post","2023","Herefordshire, Worcestershire and Warwickshire","SCS level","15","15","90900","81750"
"In post","2023","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","715","680","37840","37300"
"In post","2023","Herefordshire, Worcestershire and Warwickshire","Unknown","435","400","30720","29050"
"In post","2023","Highlands and Islands","AA/AO","805","750","24060","22500"
"In post","2023","Highlands and Islands","EO","680","625","30280","29100"
"In post","2023","Highlands and Islands","G6/G7","100","95","63400","60050"
"In post","2023","Highlands and Islands","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Highlands and Islands","SEO/HEO","445","425","39010","38330"
"In post","2023","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Inner London - East","AA/AO","2515","2310","28080","26920"
