"Status","Year","Disability","Region_ITL1","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","East Midlands (England)","Derby","AA/AO","80","70","22070","21690"
"In post","2023","Declared disabled","East Midlands (England)","Derby","EO","55","50","28350","28120"
"In post","2023","Declared disabled","East Midlands (England)","Derby","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Derby","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Derby","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Derby","Unknown","45","40","29460","26840"
"In post","2023","Declared disabled","East Midlands (England)","East Derbyshire","AA/AO","25","20","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","East Derbyshire","EO","35","30","27870","28120"
"In post","2023","Declared disabled","East Midlands (England)","East Derbyshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","East Derbyshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","East Derbyshire","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","East Derbyshire","Unknown","20","20","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Leicester","AA/AO","160","140","22110","21690"
"In post","2023","Declared disabled","East Midlands (England)","Leicester","EO","90","85","27910","28120"
"In post","2023","Declared disabled","East Midlands (England)","Leicester","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Leicester","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Leicester","SEO/HEO","35","35","36090","34850"
"In post","2023","Declared disabled","East Midlands (England)","Leicester","Unknown","45","45","31400","29050"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","AA/AO","105","90","24400","22500"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","EO","80","75","28320","28120"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","SEO/HEO","35","35","39510","37970"
"In post","2023","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","Unknown","15","10","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire CC","AA/AO","190","175","24120","22220"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire CC","EO","125","110","28330","28120"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire CC","G6/G7","20","20","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire CC","SEO/HEO","80","75","36580","34300"
"In post","2023","Declared disabled","East Midlands (England)","Lincolnshire CC","Unknown","65","60","30640","29050"
"In post","2023","Declared disabled","East Midlands (England)","North Northamptonshire","AA/AO","50","40","21790","21690"
"In post","2023","Declared disabled","East Midlands (England)","North Northamptonshire","EO","40","35","28080","28120"
"In post","2023","Declared disabled","East Midlands (England)","North Northamptonshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","North Northamptonshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","North Northamptonshire","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","North Northamptonshire","Unknown","15","15","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","North Nottinghamshire","AA/AO","40","35","24810","23230"
"In post","2023","Declared disabled","East Midlands (England)","North Nottinghamshire","EO","75","65","28210","28120"
"In post","2023","Declared disabled","East Midlands (England)","North Nottinghamshire","G6/G7","5","5","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","North Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","North Nottinghamshire","SEO/HEO","25","25","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","North Nottinghamshire","Unknown","40","40","30110","29050"
"In post","2023","Declared disabled","East Midlands (England)","Nottingham","AA/AO","335","300","23170","22520"
"In post","2023","Declared disabled","East Midlands (England)","Nottingham","EO","310","285","27730","28120"
"In post","2023","Declared disabled","East Midlands (England)","Nottingham","G6/G7","115","110","58010","57970"
"In post","2023","Declared disabled","East Midlands (England)","Nottingham","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","Nottingham","SEO/HEO","365","350","36760","35000"
"In post","2023","Declared disabled","East Midlands (England)","Nottingham","Unknown","75","70","29930","29050"
"In post","2023","Declared disabled","East Midlands (England)","South Nottinghamshire","AA/AO","55","50","27390","25340"
"In post","2023","Declared disabled","East Midlands (England)","South Nottinghamshire","EO","35","35","29030","28120"
"In post","2023","Declared disabled","East Midlands (England)","South Nottinghamshire","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","South Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","South Nottinghamshire","SEO/HEO","35","35","36740","35300"
"In post","2023","Declared disabled","East Midlands (England)","South Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","East Midlands (England)","South and West Derbyshire","AA/AO","35","35","26230","24070"
"In post","2023","Declared disabled","East Midlands (England)","South and West Derbyshire","EO","65","55","28770","28120"
