"Status","Year","Function_of_post","Organisation","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Active Travel England","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Active Travel England","North Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","East Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Greater Manchester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Advisory, Conciliation and Arbitration Service","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Attorney General's Office","Inner London - West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Greater Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Greater Manchester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Inner London - West","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Inner London - West","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Building Digital UK","Tees Valley and Durham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Derbyshire and Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Inner London - West","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","Inner London - West","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","West Central Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","West Central Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cabinet Office (excl. agencies)","West Central Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Derbyshire and Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","East Anglia","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","East Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Greater Manchester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Hampshire and Isle of Wight","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Inner London - East","SEO/HEO","10","10","30150","30130"
"In post","2023","Analysis","Central Civil Service Fast Stream","Inner London - West","SEO/HEO","65","65","31130","30130"
"In post","2023","Analysis","Central Civil Service Fast Stream","North Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Northumberland, and Tyne and Wear","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Outer London - South","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","West Central Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","West Midlands","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Central Civil Service Fast Stream","West Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Devon","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Devon","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Devon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","EO","40","35","25950","25970"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","G6/G7","20","20","53950","50970"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","SEO/HEO","70","65","33300","30820"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","AA/AO","15","15","21600","22150"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","EO","55","50","25990","25920"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","G6/G7","75","75","53190","49400"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","SEO/HEO","195","185","33960","31270"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Inner London - West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Charity Commission","Merseyside","SEO/HEO","10","10","31600","30170"
"In post","2023","Analysis","Companies House","East Wales","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Companies House","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Companies House","Outer London - South","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","East Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Eastern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Eastern Scotland","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Greater Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Competition and Markets Authority","Inner London - East","G6/G7","80","75","65690","60910"
"In post","2023","Analysis","Competition and Markets Authority","Inner London - East","SCS level","15","15","111300","101830"
"In post","2023","Analysis","Competition and Markets Authority","Inner London - East","SEO/HEO","30","30","38640","35680"
"In post","2023","Analysis","Competition and Markets Authority","Tees Valley and Durham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Electronics and Components Agency","Shropshire and Staffordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","30","30","23590","23340"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","EO","20","20","25780","26310"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","240","230","54940","49260"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","225","220","35050","39890"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","EO","5","5","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","G6/G7","295","280","54000","49260"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","SEO/HEO","230","225","35570","39890"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Kent","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Defence Science and Technology Laboratory","Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Greater Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Greater Manchester","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Greater Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Greater Manchester","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","EO","35","35","29110","28720"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","G6/G7","35","35","64280","60210"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","SEO/HEO","100","100","37630","35700"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Derbyshire and Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","East Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Greater Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Greater Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Greater Manchester","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Greater Manchester","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Inner London - West","G6/G7","60","60","58750","57030"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Inner London - West","SEO/HEO","40","40","40390","39620"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","Tees Valley and Durham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","West Central Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","West Central Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","West Midlands","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","West Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","West Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Derbyshire and Nottinghamshire","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Derbyshire and Nottinghamshire","SEO/HEO","10","10","40660","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","East Anglia","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","10","10","54960","51690"
"In post","2023","Analysis","Department for Education (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","35","35","39800","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","Greater Manchester","EO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Greater Manchester","G6/G7","10","10","55870","51360"
"In post","2023","Analysis","Department for Education (excl. agencies)","Greater Manchester","SEO/HEO","45","45","38930","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","Inner London - West","EO","10","10","31810","30560"
"In post","2023","Analysis","Department for Education (excl. agencies)","Inner London - West","G6/G7","90","85","59830","56040"
"In post","2023","Analysis","Department for Education (excl. agencies)","Inner London - West","SCS level","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Inner London - West","SEO/HEO","110","105","43810","46600"
"In post","2023","Analysis","Department for Education (excl. agencies)","Lancashire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Northumberland, and Tyne and Wear","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Northumberland, and Tyne and Wear","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Northumberland, and Tyne and Wear","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Outer London - South","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","South Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","South Yorkshire","G6/G7","55","50","55160","52150"
"In post","2023","Analysis","Department for Education (excl. agencies)","South Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","South Yorkshire","SEO/HEO","85","80","39920","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","Tees Valley and Durham","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","Tees Valley and Durham","G6/G7","15","15","52890","51640"
"In post","2023","Analysis","Department for Education (excl. agencies)","Tees Valley and Durham","SEO/HEO","25","25","41070","43250"
"In post","2023","Analysis","Department for Education (excl. agencies)","West Midlands","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","West Midlands","G6/G7","5","5","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","West Midlands","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Education (excl. agencies)","West Midlands","SEO/HEO","15","15","37410","37590"
"In post","2023","Analysis","Department for Education (excl. agencies)","West Yorkshire","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Inner London - West","EO","25","25","29440","29280"
"In post","2023","Analysis","Department for International Trade","Inner London - West","G6/G7","120","120","59390","56110"
"In post","2023","Analysis","Department for International Trade","Inner London - West","SCS level","10","10","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Inner London - West","SEO/HEO","90","85","37910","35010"
"In post","2023","Analysis","Department for International Trade","Tees Valley and Durham","EO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Tees Valley and Durham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Tees Valley and Durham","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","Tees Valley and Durham","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Analysis","Department for International Trade","West Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","East Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Greater Manchester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Greater Manchester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
