"Status","Year","Parent_department","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","AA/AO","40","40","23990","24480"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","EO","40","35","29300","28870"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","G6/G7","90","80","61300","63370"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Bedfordshire and Hertfordshire","SEO/HEO","20","20","38100","38660"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","30","25","23880","24480"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","EO","30","25","28990","28200"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","50","45","61620","60590"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","25","25","36970","36170"
"In post","2023","Attorney General's Departments","Cheshire","EO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cheshire","G6/G7","15","15","63530","59270"
"In post","2023","Attorney General's Departments","Cheshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","AA/AO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","EO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","G6/G7","10","10","53870","56450"
"In post","2023","Attorney General's Departments","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","AA/AO","10","5","22710","22870"
"In post","2023","Attorney General's Departments","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Cumbria","G6/G7","15","15","56830","55870"
"In post","2023","Attorney General's Departments","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","AA/AO","80","75","22360","22870"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","EO","70","65","27420","26900"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","G6/G7","120","110","54990","53750"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Derbyshire and Nottinghamshire","SEO/HEO","50","50","35020","33100"
"In post","2023","Attorney General's Departments","Devon","AA/AO","15","15","22370","22870"
"In post","2023","Attorney General's Departments","Devon","EO","25","20","27870","27440"
"In post","2023","Attorney General's Departments","Devon","G6/G7","50","45","55850","56450"
"In post","2023","Attorney General's Departments","Devon","SEO/HEO","20","20","35670","34640"
"In post","2023","Attorney General's Departments","Dorset and Somerset","G6/G7","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","AA/AO","40","35","22520","22870"
"In post","2023","Attorney General's Departments","East Anglia","EO","35","30","27700","27020"
"In post","2023","Attorney General's Departments","East Anglia","G6/G7","50","45","56190","56450"
"In post","2023","Attorney General's Departments","East Anglia","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Anglia","SEO/HEO","25","25","35760","35000"
"In post","2023","Attorney General's Departments","East Wales","AA/AO","70","65","23000","22870"
"In post","2023","Attorney General's Departments","East Wales","EO","60","60","27820","27400"
"In post","2023","Attorney General's Departments","East Wales","G6/G7","150","135","55680","55390"
"In post","2023","Attorney General's Departments","East Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","East Wales","SEO/HEO","45","45","36430","38350"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","AA/AO","20","15","22850","22870"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","EO","20","15","28210","28850"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","G6/G7","35","35","56340","56450"
"In post","2023","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex","AA/AO","45","40","24030","24480"
"In post","2023","Attorney General's Departments","Essex","EO","45","40","29630","30210"
"In post","2023","Attorney General's Departments","Essex","G6/G7","85","80","60990","58820"
"In post","2023","Attorney General's Departments","Essex","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Essex","SEO/HEO","35","35","38200","40540"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","45","45","22390","22870"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","EO","45","40","28080","27400"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","150","135","56800","55290"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","30","30","35880","35000"
"In post","2023","Attorney General's Departments","Greater Manchester","AA/AO","80","75","22770","22870"
"In post","2023","Attorney General's Departments","Greater Manchester","EO","90","85","28190","28850"
"In post","2023","Attorney General's Departments","Greater Manchester","G6/G7","170","160","56970","56450"
"In post","2023","Attorney General's Departments","Greater Manchester","SCS level","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Greater Manchester","SEO/HEO","50","50","36170","36880"
"In post","2023","Attorney General's Departments","Hampshire and Isle of Wight","AA/AO","70","65","23860","24480"
"In post","2023","Attorney General's Departments","Hampshire and Isle of Wight","EO","55","50","29000","28200"
"In post","2023","Attorney General's Departments","Hampshire and Isle of Wight","G6/G7","135","125","60930","58820"
"In post","2023","Attorney General's Departments","Hampshire and Isle of Wight","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Hampshire and Isle of Wight","SEO/HEO","40","40","37620","38460"
"In post","2023","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","EO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","G6/G7","10","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Inner London - East","AA/AO","15","15","24100","25600"
"In post","2023","Attorney General's Departments","Inner London - East","EO","[c]","[c]","[c]","[c]"
