"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","Analysis","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East Midlands (England)","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","London","AA/AO","15","15","[c]","[c]"
"In post","2023","Asian","Analysis","London","EO","80","80","29360","29380"
"In post","2023","Asian","Analysis","London","G6/G7","175","170","62310","61420"
"In post","2023","Asian","Analysis","London","SCS level","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","London","SEO/HEO","270","270","39570","39150"
"In post","2023","Asian","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North East (England)","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","EO","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","G6/G7","10","10","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","North West (England)","SEO/HEO","30","30","37030","35000"
"In post","2023","Asian","Analysis","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","Scotland","SEO/HEO","5","5","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Asian","Analysis","South East (England)","EO","[c]","[c]","[c]","[c]"
