"Status","Year","Function_of_post","Region_ITL2","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Bedford","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Bedford","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Central Bedfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Central Bedfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Hertfordshire CC","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Hertfordshire CC","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Luton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Bedfordshire and Hertfordshire","Luton","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","Cheshire East","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","Cheshire East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","Warrington","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cheshire","Warrington","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Cumbria","East Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cumbria","East Cumbria","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Cumbria","West Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Cumbria","West Cumbria","Male","5","5","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","Derby","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","Derby","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","East Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","East Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","North Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","North Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","Nottingham","Female","35","35","41900","38450"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","Nottingham","Male","35","35","41240","40230"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","South Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","South Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","South and West Derbyshire","Female","15","10","[c]","[c]"
"In post","2023","Analysis","Derbyshire and Nottinghamshire","South and West Derbyshire","Male","15","15","[c]","[c]"
"In post","2023","Analysis","Devon","Devon CC","Female","5","5","[c]","[c]"
"In post","2023","Analysis","Devon","Devon CC","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Devon","Plymouth","Female","10","10","[c]","[c]"
"In post","2023","Analysis","Devon","Plymouth","Male","10","10","[c]","[c]"
"In post","2023","Analysis","Devon","Torbay","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Devon","Torbay","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Dorset and Somerset","Bournemouth, Christchurch and Poole","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Dorset and Somerset","Bournemouth, Christchurch and Poole","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Dorset and Somerset","Dorset","Female","75","70","33410","30350"
"In post","2023","Analysis","Dorset and Somerset","Dorset","Male","65","65","36750","30820"
"In post","2023","Analysis","Dorset and Somerset","Somerset CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","Dorset and Somerset","Somerset CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Anglia","Breckland and South Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Anglia","Breckland and South Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Anglia","Cambridgeshire CC","Female","5","5","[c]","[c]"
"In post","2023","Analysis","East Anglia","Cambridgeshire CC","Male","5","5","[c]","[c]"
"In post","2023","Analysis","East Anglia","North and West Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Anglia","North and West Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Anglia","Norwich and East Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Anglia","Norwich and East Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Anglia","Peterborough","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Anglia","Peterborough","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Anglia","Suffolk CC","Female","175","160","33960","30350"
"In post","2023","Analysis","East Anglia","Suffolk CC","Male","175","175","39000","37310"
"In post","2023","Analysis","East Wales","Cardiff and Vale of Glamorgan","Female","25","25","[c]","[c]"
"In post","2023","Analysis","East Wales","Cardiff and Vale of Glamorgan","Male","15","15","[c]","[c]"
"In post","2023","Analysis","East Wales","Flintshire and Wrexham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Wales","Flintshire and Wrexham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Wales","Monmouthshire and Newport","Female","605","570","38240","37760"
"In post","2023","Analysis","East Wales","Monmouthshire and Newport","Male","490","480","39920","37760"
"In post","2023","Analysis","East Wales","Monmouthshire and Newport","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Wales","Powys","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Wales","Powys","Male","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Analysis","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Male","[c]","[c]","[c]","[c]"
