"Status","Year","Age","Function_of_post","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","16-19","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Birmingham","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Birmingham","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Central Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Central Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Croydon","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Croydon","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Darlington","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Darlington","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Greater Manchester South West","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Greater Manchester South West","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Liverpool","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Liverpool","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Monmouthshire and Newport","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Monmouthshire and Newport","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Sheffield","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Sheffield","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","South Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","South Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Tower Hamlets","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Tower Hamlets","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Westminster","Female","10","10","[c]","[c]"
"In post","2023","16-19","Analysis","Westminster","Male","5","5","[c]","[c]"
"In post","2023","16-19","Analysis","Wiltshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Wiltshire","Male","10","10","[c]","[c]"
"In post","2023","16-19","Analysis","Wolverhampton","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Analysis","Wolverhampton","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Clackmannanshire and Fife","Female","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Clackmannanshire and Fife","Male","[c]","[c]","[c]","[c]"
"In post","2023","16-19","Commercial","Liverpool","Female","[c]","[c]","[c]","[c]"
