"Status","Year","Disability","Function_of_post","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East Midlands (England)","SEO/HEO","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","EO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","East of England","SEO/HEO","15","15","[c]","[c]"
"In post","2023","Declared disabled","Analysis","London","AA/AO","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","London","EO","35","30","30490","30090"
"In post","2023","Declared disabled","Analysis","London","G6/G7","120","115","63730","61530"
"In post","2023","Declared disabled","Analysis","London","SCS level","5","5","[c]","[c]"
"In post","2023","Declared disabled","Analysis","London","SEO/HEO","185","175","39360","38950"
"In post","2023","Declared disabled","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North East (England)","G6/G7","10","10","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Analysis","North East (England)","SEO/HEO","25","25","[c]","[c]"
