"Status","Year","Profession_of_post","Region_ITL2","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","G7","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","G7","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","HEO","Female","5","5","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Bedfordshire and Hertfordshire","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","EO","Female","25","25","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","EO","Male","15","15","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6","Female","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6","Male","5","5","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G7","Female","15","15","[c]","[c]"
"In post","2023","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G7","Male","15","15","[c]","[c]"
